Category: All categories

Week,Baking: (France)
2018-01-07,32
2018-01-14,33
2018-01-21,32
2018-01-28,32
2018-02-04,32
2018-02-11,35
2018-02-18,34
2018-02-25,34
2018-03-04,35
2018-03-11,33
2018-03-18,33
2018-03-25,35
2018-04-01,38
2018-04-08,33
2018-04-15,31
2018-04-22,30
2018-04-29,35
2018-05-06,34
2018-05-13,29
2018-05-20,31
2018-05-27,29
2018-06-03,27
2018-06-10,27
2018-06-17,26
2018-06-24,24
2018-07-01,23
2018-07-08,24
2018-07-15,25
2018-07-22,27
2018-07-29,27
2018-08-05,28
2018-08-12,34
2018-08-19,32
2018-08-26,29
2018-09-02,31
2018-09-09,31
2018-09-16,30
2018-09-23,34
2018-09-30,33
2018-10-07,36
2018-10-14,36
2018-10-21,40
2018-10-28,46
2018-11-04,37
2018-11-11,38
2018-11-18,36
2018-11-25,37
2018-12-02,36
2018-12-09,38
2018-12-16,46
2018-12-23,84
2018-12-30,56
2019-01-06,36
2019-01-13,37
2019-01-20,34
2019-01-27,24
2019-02-03,21
2019-02-10,22
2019-02-17,21
2019-02-24,21
2019-03-03,22
2019-03-10,21
2019-03-17,22
2019-03-24,22
2019-03-31,33
2019-04-07,37
2019-04-14,36
2019-04-21,37
2019-04-28,35
2019-05-05,36
2019-05-12,33
2019-05-19,34
2019-05-26,33
2019-06-02,28
2019-06-09,31
2019-06-16,28
2019-06-23,29
2019-06-30,24
2019-07-07,25
2019-07-14,26
2019-07-21,27
2019-07-28,30
2019-08-04,31
2019-08-11,34
2019-08-18,32
2019-08-25,33
2019-09-01,32
2019-09-08,32
2019-09-15,33
2019-09-22,33
2019-09-29,35
2019-10-06,39
2019-10-13,40
2019-10-20,43
2019-10-27,46
2019-11-03,41
2019-11-10,42
2019-11-17,41
2019-11-24,38
2019-12-01,38
2019-12-08,40
2019-12-15,46
2019-12-22,90
2019-12-29,59
2020-01-05,39
2020-01-12,38
2020-01-19,40
2020-01-26,38
2020-02-02,38
2020-02-09,38
2020-02-16,39
2020-02-23,38
2020-03-01,38
2020-03-08,35
2020-03-15,44
2020-03-22,59
2020-03-29,61
2020-04-05,61
2020-04-12,69
2020-04-19,63
2020-04-26,59
2020-05-03,54
2020-05-10,45
2020-05-17,48
2020-05-24,41
2020-05-31,41
2020-06-07,40
2020-06-14,36
2020-06-21,33
2020-06-28,32
2020-07-05,31
2020-07-12,34
2020-07-19,31
2020-07-26,34
2020-08-02,35
2020-08-09,32
2020-08-16,35
2020-08-23,35
2020-08-30,35
2020-09-06,35
2020-09-13,35
2020-09-20,36
2020-09-27,41
2020-10-04,42
2020-10-11,46
2020-10-18,49
2020-10-25,45
2020-11-01,48
2020-11-08,52
2020-11-15,50
2020-11-22,47
2020-11-29,44
2020-12-06,45
2020-12-13,53
2020-12-20,100
2020-12-27,60
