Category: All categories

Week,Baking: (Japan)
2018-01-07,62
2018-01-14,57
2018-01-21,61
2018-01-28,52
2018-02-04,58
2018-02-11,85
2018-02-18,64
2018-02-25,58
2018-03-04,60
2018-03-11,67
2018-03-18,58
2018-03-25,57
2018-04-01,51
2018-04-08,55
2018-04-15,56
2018-04-22,52
2018-04-29,57
2018-05-06,56
2018-05-13,44
2018-05-20,60
2018-05-27,49
2018-06-03,57
2018-06-10,53
2018-06-17,49
2018-06-24,53
2018-07-01,46
2018-07-08,45
2018-07-15,47
2018-07-22,45
2018-07-29,47
2018-08-05,53
2018-08-12,49
2018-08-19,45
2018-08-26,53
2018-09-02,45
2018-09-09,60
2018-09-16,55
2018-09-23,53
2018-09-30,60
2018-10-07,58
2018-10-14,58
2018-10-21,59
2018-10-28,59
2018-11-04,65
2018-11-11,57
2018-11-18,57
2018-11-25,57
2018-12-02,53
2018-12-09,63
2018-12-16,67
2018-12-23,72
2018-12-30,66
2019-01-06,63
2019-01-13,66
2019-01-20,59
2019-01-27,23
2019-02-03,23
2019-02-10,30
2019-02-17,21
2019-02-24,21
2019-03-03,21
2019-03-10,17
2019-03-17,19
2019-03-24,18
2019-03-31,54
2019-04-07,51
2019-04-14,56
2019-04-21,58
2019-04-28,62
2019-05-05,62
2019-05-12,59
2019-05-19,63
2019-05-26,57
2019-06-02,57
2019-06-09,51
2019-06-16,55
2019-06-23,49
2019-06-30,56
2019-07-07,54
2019-07-14,53
2019-07-21,48
2019-07-28,48
2019-08-04,52
2019-08-11,53
2019-08-18,50
2019-08-25,53
2019-09-01,53
2019-09-08,55
2019-09-15,61
2019-09-22,58
2019-09-29,53
2019-10-06,57
2019-10-13,57
2019-10-20,58
2019-10-27,62
2019-11-03,68
2019-11-10,55
2019-11-17,59
2019-11-24,55
2019-12-01,57
2019-12-08,64
2019-12-15,66
2019-12-22,72
2019-12-29,65
2020-01-05,58
2020-01-12,66
2020-01-19,57
2020-01-26,62
2020-02-02,62
2020-02-09,91
2020-02-16,69
2020-02-23,56
2020-03-01,70
2020-03-08,80
2020-03-15,71
2020-03-22,70
2020-03-29,68
2020-04-05,73
2020-04-12,86
2020-04-19,88
2020-04-26,90
2020-05-03,100
2020-05-10,95
2020-05-17,85
2020-05-24,74
2020-05-31,73
2020-06-07,68
2020-06-14,67
2020-06-21,64
2020-06-28,64
2020-07-05,67
2020-07-12,64
2020-07-19,74
2020-07-26,68
2020-08-02,64
2020-08-09,67
2020-08-16,62
2020-08-23,67
2020-08-30,67
2020-09-06,69
2020-09-13,66
2020-09-20,72
2020-09-27,66
2020-10-04,65
2020-10-11,68
2020-10-18,66
2020-10-25,73
2020-11-01,67
2020-11-08,71
2020-11-15,69
2020-11-22,78
2020-11-29,69
2020-12-06,70
2020-12-13,69
2020-12-20,79
2020-12-27,80
