Category: All categories

Week,Baking: (Germany)
2018-01-07,26
2018-01-14,26
2018-01-21,27
2018-01-28,28
2018-02-04,30
2018-02-11,32
2018-02-18,33
2018-02-25,32
2018-03-04,32
2018-03-11,36
2018-03-18,39
2018-03-25,63
2018-04-01,30
2018-04-08,22
2018-04-15,23
2018-04-22,22
2018-04-29,28
2018-05-06,27
2018-05-13,22
2018-05-20,25
2018-05-27,21
2018-06-03,20
2018-06-10,21
2018-06-17,21
2018-06-24,21
2018-07-01,22
2018-07-08,22
2018-07-15,21
2018-07-22,23
2018-07-29,18
2018-08-05,21
2018-08-12,23
2018-08-19,23
2018-08-26,25
2018-09-02,25
2018-09-09,26
2018-09-16,25
2018-09-23,28
2018-09-30,31
2018-10-07,29
2018-10-14,28
2018-10-21,37
2018-10-28,36
2018-11-04,38
2018-11-11,37
2018-11-18,40
2018-11-25,42
2018-12-02,44
2018-12-09,43
2018-12-16,44
2018-12-23,36
2018-12-30,31
2019-01-06,26
2019-01-13,29
2019-01-20,31
2019-01-27,32
2019-02-03,34
2019-02-10,33
2019-02-17,33
2019-02-24,33
2019-03-03,34
2019-03-10,36
2019-03-17,34
2019-03-24,33
2019-03-31,32
2019-04-07,35
2019-04-14,47
2019-04-21,27
2019-04-28,29
2019-05-05,32
2019-05-12,26
2019-05-19,27
2019-05-26,28
2019-06-02,24
2019-06-09,27
2019-06-16,25
2019-06-23,21
2019-06-30,24
2019-07-07,27
2019-07-14,26
2019-07-21,25
2019-07-28,25
2019-08-04,26
2019-08-11,25
2019-08-18,26
2019-08-25,25
2019-09-01,26
2019-09-08,27
2019-09-15,29
2019-09-22,29
2019-09-29,34
2019-10-06,33
2019-10-13,34
2019-10-20,37
2019-10-27,43
2019-11-03,40
2019-11-10,42
2019-11-17,46
2019-11-24,48
2019-12-01,53
2019-12-08,46
2019-12-15,49
2019-12-22,47
2019-12-29,37
2020-01-05,30
2020-01-12,34
2020-01-19,34
2020-01-26,34
2020-02-02,33
2020-02-09,38
2020-02-16,37
2020-02-23,43
2020-03-01,41
2020-03-08,41
2020-03-15,61
2020-03-22,72
2020-03-29,77
2020-04-05,100
2020-04-12,63
2020-04-19,49
2020-04-26,58
2020-05-03,52
2020-05-10,46
2020-05-17,48
2020-05-24,43
2020-05-31,39
2020-06-07,41
2020-06-14,37
2020-06-21,33
2020-06-28,36
2020-07-05,37
2020-07-12,33
2020-07-19,33
2020-07-26,29
2020-08-02,29
2020-08-09,28
2020-08-16,32
2020-08-23,34
2020-08-30,34
2020-09-06,32
2020-09-13,31
2020-09-20,34
2020-09-27,36
2020-10-04,37
2020-10-11,41
2020-10-18,39
2020-10-25,42
2020-11-01,42
2020-11-08,57
2020-11-15,57
2020-11-22,60
2020-11-29,67
2020-12-06,56
2020-12-13,53
2020-12-20,64
2020-12-27,50
