Category: All categories

Week,Musical instrument: (Japan)
2018-01-07,46
2018-01-14,47
2018-01-21,41
2018-01-28,47
2018-02-04,41
2018-02-11,39
2018-02-18,43
2018-02-25,43
2018-03-04,40
2018-03-11,42
2018-03-18,40
2018-03-25,48
2018-04-01,39
2018-04-08,51
2018-04-15,47
2018-04-22,52
2018-04-29,54
2018-05-06,45
2018-05-13,44
2018-05-20,43
2018-05-27,46
2018-06-03,47
2018-06-10,47
2018-06-17,39
2018-06-24,46
2018-07-01,39
2018-07-08,39
2018-07-15,42
2018-07-22,38
2018-07-29,42
2018-08-05,40
2018-08-12,43
2018-08-19,44
2018-08-26,48
2018-09-02,44
2018-09-09,49
2018-09-16,48
2018-09-23,48
2018-09-30,44
2018-10-07,41
2018-10-14,50
2018-10-21,51
2018-10-28,41
2018-11-04,47
2018-11-11,40
2018-11-18,42
2018-11-25,44
2018-12-02,43
2018-12-09,40
2018-12-16,43
2018-12-23,45
2018-12-30,49
2019-01-06,44
2019-01-13,43
2019-01-20,42
2019-01-27,7
2019-02-03,1
2019-02-10,1
2019-02-17,2
2019-02-24,1
2019-03-03,1
2019-03-10,2
2019-03-17,2
2019-03-24,1
2019-03-31,36
2019-04-07,42
2019-04-14,55
2019-04-21,46
2019-04-28,47
2019-05-05,41
2019-05-12,46
2019-05-19,44
2019-05-26,43
2019-06-02,50
2019-06-09,43
2019-06-16,38
2019-06-23,42
2019-06-30,46
2019-07-07,44
2019-07-14,43
2019-07-21,42
2019-07-28,44
2019-08-04,44
2019-08-11,40
2019-08-18,44
2019-08-25,42
2019-09-01,45
2019-09-08,36
2019-09-15,43
2019-09-22,43
2019-09-29,42
2019-10-06,39
2019-10-13,45
2019-10-20,46
2019-10-27,45
2019-11-03,47
2019-11-10,41
2019-11-17,43
2019-11-24,100
2019-12-01,45
2019-12-08,47
2019-12-15,48
2019-12-22,54
2019-12-29,52
2020-01-05,46
2020-01-12,47
2020-01-19,45
2020-01-26,41
2020-02-02,42
2020-02-09,43
2020-02-16,44
2020-02-23,40
2020-03-01,39
2020-03-08,46
2020-03-15,44
2020-03-22,42
2020-03-29,42
2020-04-05,39
2020-04-12,40
2020-04-19,46
2020-04-26,51
2020-05-03,53
2020-05-10,51
2020-05-17,51
2020-05-24,49
2020-05-31,53
2020-06-07,48
2020-06-14,48
2020-06-21,48
2020-06-28,49
2020-07-05,45
2020-07-12,45
2020-07-19,47
2020-07-26,42
2020-08-02,41
2020-08-09,43
2020-08-16,42
2020-08-23,45
2020-08-30,42
2020-09-06,40
2020-09-13,39
2020-09-20,42
2020-09-27,39
2020-10-04,39
2020-10-11,36
2020-10-18,38
2020-10-25,39
2020-11-01,39
2020-11-08,44
2020-11-15,39
2020-11-22,42
2020-11-29,45
2020-12-06,41
2020-12-13,40
2020-12-20,41
2020-12-27,43
