Category: All categories

Week,Running: (Japan)
2018-01-07,93
2018-01-14,86
2018-01-21,81
2018-01-28,78
2018-02-04,81
2018-02-11,73
2018-02-18,68
2018-02-25,72
2018-03-04,64
2018-03-11,71
2018-03-18,57
2018-03-25,77
2018-04-01,77
2018-04-08,77
2018-04-15,88
2018-04-22,93
2018-04-29,83
2018-05-06,91
2018-05-13,96
2018-05-20,100
2018-05-27,78
2018-06-03,86
2018-06-10,75
2018-06-17,66
2018-06-24,81
2018-07-01,58
2018-07-08,68
2018-07-15,65
2018-07-22,73
2018-07-29,68
2018-08-05,65
2018-08-12,67
2018-08-19,82
2018-08-26,93
2018-09-02,85
2018-09-09,86
2018-09-16,82
2018-09-23,76
2018-09-30,84
2018-10-07,87
2018-10-14,84
2018-10-21,76
2018-10-28,82
2018-11-04,87
2018-11-11,93
2018-11-18,86
2018-11-25,93
2018-12-02,80
2018-12-09,77
2018-12-16,66
2018-12-23,72
2018-12-30,80
2019-01-06,78
2019-01-13,86
2019-01-20,77
2019-01-27,49
2019-02-03,33
2019-02-10,37
2019-02-17,41
2019-02-24,34
2019-03-03,39
2019-03-10,35
2019-03-17,30
2019-03-24,34
2019-03-31,67
2019-04-07,75
2019-04-14,99
2019-04-21,80
2019-04-28,68
2019-05-05,97
2019-05-12,96
2019-05-19,93
2019-05-26,90
2019-06-02,86
2019-06-09,80
2019-06-16,75
2019-06-23,70
2019-06-30,68
2019-07-07,64
2019-07-14,76
2019-07-21,69
2019-07-28,61
2019-08-04,72
2019-08-11,67
2019-08-18,74
2019-08-25,97
2019-09-01,89
2019-09-08,88
2019-09-15,83
2019-09-22,87
2019-09-29,86
2019-10-06,81
2019-10-13,77
2019-10-20,81
2019-10-27,86
2019-11-03,84
2019-11-10,90
2019-11-17,93
2019-11-24,86
2019-12-01,84
2019-12-08,81
2019-12-15,85
2019-12-22,51
2019-12-29,69
2020-01-05,79
2020-01-12,83
2020-01-19,84
2020-01-26,81
2020-02-02,85
2020-02-09,84
2020-02-16,77
2020-02-23,65
2020-03-01,63
2020-03-08,76
2020-03-15,64
2020-03-22,64
2020-03-29,64
2020-04-05,74
2020-04-12,70
2020-04-19,81
2020-04-26,78
2020-05-03,92
2020-05-10,89
2020-05-17,85
2020-05-24,85
2020-05-31,92
2020-06-07,83
2020-06-14,72
2020-06-21,77
2020-06-28,70
2020-07-05,64
2020-07-12,68
2020-07-19,71
2020-07-26,69
2020-08-02,68
2020-08-09,64
2020-08-16,74
2020-08-23,79
2020-08-30,75
2020-09-06,80
2020-09-13,79
2020-09-20,71
2020-09-27,81
2020-10-04,80
2020-10-11,81
2020-10-18,83
2020-10-25,71
2020-11-01,72
2020-11-08,76
2020-11-15,85
2020-11-22,79
2020-11-29,81
2020-12-06,79
2020-12-13,76
2020-12-20,69
2020-12-27,60
