Category: All categories

Week,Running: (Egypt)
2018-01-07,52
2018-01-14,28
2018-01-21,23
2018-01-28,27
2018-02-04,36
2018-02-11,35
2018-02-18,20
2018-02-25,35
2018-03-04,27
2018-03-11,43
2018-03-18,43
2018-03-25,23
2018-04-01,39
2018-04-08,8
2018-04-15,52
2018-04-22,24
2018-04-29,28
2018-05-06,24
2018-05-13,38
2018-05-20,30
2018-05-27,28
2018-06-03,33
2018-06-10,23
2018-06-17,35
2018-06-24,28
2018-07-01,29
2018-07-08,24
2018-07-15,36
2018-07-22,39
2018-07-29,39
2018-08-05,30
2018-08-12,26
2018-08-19,31
2018-08-26,63
2018-09-02,77
2018-09-09,29
2018-09-16,65
2018-09-23,45
2018-09-30,45
2018-10-07,38
2018-10-14,54
2018-10-21,30
2018-10-28,34
2018-11-04,53
2018-11-11,55
2018-11-18,46
2018-11-25,65
2018-12-02,31
2018-12-09,44
2018-12-16,54
2018-12-23,55
2018-12-30,79
2019-01-06,88
2019-01-13,60
2019-01-20,63
2019-01-27,38
2019-02-03,56
2019-02-10,61
2019-02-17,87
2019-02-24,59
2019-03-03,61
2019-03-10,71
2019-03-17,80
2019-03-24,42
2019-03-31,40
2019-04-07,40
2019-04-14,35
2019-04-21,36
2019-04-28,80
2019-05-05,51
2019-05-12,52
2019-05-19,69
2019-05-26,56
2019-06-02,77
2019-06-09,54
2019-06-16,48
2019-06-23,83
2019-06-30,52
2019-07-07,65
2019-07-14,57
2019-07-21,67
2019-07-28,83
2019-08-04,61
2019-08-11,41
2019-08-18,65
2019-08-25,45
2019-09-01,82
2019-09-08,60
2019-09-15,28
2019-09-22,53
2019-09-29,46
2019-10-06,62
2019-10-13,89
2019-10-20,66
2019-10-27,58
2019-11-03,68
2019-11-10,60
2019-11-17,92
2019-11-24,73
2019-12-01,59
2019-12-08,49
2019-12-15,51
2019-12-22,50
2019-12-29,100
2020-01-05,56
2020-01-12,37
2020-01-19,75
2020-01-26,82
2020-02-02,58
2020-02-09,30
2020-02-16,64
2020-02-23,65
2020-03-01,40
2020-03-08,55
2020-03-15,54
2020-03-22,54
2020-03-29,38
2020-04-05,43
2020-04-12,38
2020-04-19,45
2020-04-26,53
2020-05-03,54
2020-05-10,49
2020-05-17,45
2020-05-24,52
2020-05-31,35
2020-06-07,85
2020-06-14,52
2020-06-21,65
2020-06-28,55
2020-07-05,66
2020-07-12,54
2020-07-19,47
2020-07-26,44
2020-08-02,29
2020-08-09,49
2020-08-16,15
2020-08-23,42
2020-08-30,36
2020-09-06,30
2020-09-13,48
2020-09-20,43
2020-09-27,34
2020-10-04,34
2020-10-11,41
2020-10-18,34
2020-10-25,21
2020-11-01,24
2020-11-08,21
2020-11-15,46
2020-11-22,39
2020-11-29,15
2020-12-06,21
2020-12-13,45
2020-12-20,38
2020-12-27,41
