Category: All categories

Week,Running: (Nigeria)
2018-01-07,50
2018-01-14,51
2018-01-21,60
2018-01-28,38
2018-02-04,67
2018-02-11,57
2018-02-18,53
2018-02-25,71
2018-03-04,65
2018-03-11,66
2018-03-18,54
2018-03-25,91
2018-04-01,35
2018-04-08,62
2018-04-15,55
2018-04-22,47
2018-04-29,41
2018-05-06,73
2018-05-13,42
2018-05-20,71
2018-05-27,37
2018-06-03,47
2018-06-10,32
2018-06-17,42
2018-06-24,74
2018-07-01,67
2018-07-08,67
2018-07-15,63
2018-07-22,40
2018-07-29,57
2018-08-05,24
2018-08-12,21
2018-08-19,53
2018-08-26,41
2018-09-02,57
2018-09-09,49
2018-09-16,57
2018-09-23,32
2018-09-30,45
2018-10-07,52
2018-10-14,48
2018-10-21,42
2018-10-28,46
2018-11-04,32
2018-11-11,79
2018-11-18,46
2018-11-25,31
2018-12-02,36
2018-12-09,62
2018-12-16,60
2018-12-23,35
2018-12-30,48
2019-01-06,71
2019-01-13,59
2019-01-20,67
2019-01-27,73
2019-02-03,39
2019-02-10,54
2019-02-17,82
2019-02-24,40
2019-03-03,54
2019-03-10,70
2019-03-17,54
2019-03-24,73
2019-03-31,86
2019-04-07,46
2019-04-14,49
2019-04-21,28
2019-04-28,61
2019-05-05,46
2019-05-12,55
2019-05-19,55
2019-05-26,64
2019-06-02,32
2019-06-09,62
2019-06-16,59
2019-06-23,78
2019-06-30,66
2019-07-07,70
2019-07-14,44
2019-07-21,56
2019-07-28,39
2019-08-04,47
2019-08-11,39
2019-08-18,55
2019-08-25,51
2019-09-01,42
2019-09-08,58
2019-09-15,45
2019-09-22,53
2019-09-29,56
2019-10-06,41
2019-10-13,63
2019-10-20,91
2019-10-27,64
2019-11-03,87
2019-11-10,73
2019-11-17,43
2019-11-24,66
2019-12-01,41
2019-12-08,50
2019-12-15,49
2019-12-22,50
2019-12-29,39
2020-01-05,66
2020-01-12,42
2020-01-19,77
2020-01-26,61
2020-02-02,70
2020-02-09,63
2020-02-16,46
2020-02-23,50
2020-03-01,77
2020-03-08,95
2020-03-15,43
2020-03-22,68
2020-03-29,56
2020-04-05,57
2020-04-12,61
2020-04-19,42
2020-04-26,58
2020-05-03,98
2020-05-10,100
2020-05-17,68
2020-05-24,88
2020-05-31,66
2020-06-07,57
2020-06-14,90
2020-06-21,74
2020-06-28,62
2020-07-05,62
2020-07-12,86
2020-07-19,80
2020-07-26,100
2020-08-02,76
2020-08-09,89
2020-08-16,74
2020-08-23,74
2020-08-30,76
2020-09-06,44
2020-09-13,66
2020-09-20,38
2020-09-27,47
2020-10-04,45
2020-10-11,62
2020-10-18,45
2020-10-25,71
2020-11-01,78
2020-11-08,67
2020-11-15,57
2020-11-22,72
2020-11-29,59
2020-12-06,47
2020-12-13,55
2020-12-20,38
2020-12-27,83
