Category: All categories

Week,Video game console: (Japan)
2018-01-07,62
2018-01-14,52
2018-01-21,52
2018-01-28,43
2018-02-04,43
2018-02-11,43
2018-02-18,61
2018-02-25,63
2018-03-04,42
2018-03-11,45
2018-03-18,44
2018-03-25,41
2018-04-01,42
2018-04-08,44
2018-04-15,46
2018-04-22,56
2018-04-29,55
2018-05-06,40
2018-05-13,39
2018-05-20,35
2018-05-27,38
2018-06-03,40
2018-06-10,45
2018-06-17,48
2018-06-24,47
2018-07-01,44
2018-07-08,48
2018-07-15,43
2018-07-22,52
2018-07-29,52
2018-08-05,53
2018-08-12,38
2018-08-19,39
2018-08-26,53
2018-09-02,40
2018-09-09,52
2018-09-16,47
2018-09-23,47
2018-09-30,69
2018-10-07,47
2018-10-14,49
2018-10-21,52
2018-10-28,55
2018-11-04,42
2018-11-11,50
2018-11-18,56
2018-11-25,66
2018-12-02,74
2018-12-09,69
2018-12-16,64
2018-12-23,56
2018-12-30,74
2019-01-06,56
2019-01-13,53
2019-01-20,56
2019-01-27,70
2019-02-03,53
2019-02-10,61
2019-02-17,45
2019-02-24,44
2019-03-03,63
2019-03-10,49
2019-03-17,77
2019-03-24,64
2019-03-31,52
2019-04-07,40
2019-04-14,46
2019-04-21,47
2019-04-28,56
2019-05-05,40
2019-05-12,41
2019-05-19,59
2019-05-26,52
2019-06-02,50
2019-06-09,38
2019-06-16,39
2019-06-23,48
2019-06-30,39
2019-07-07,35
2019-07-14,55
2019-07-21,43
2019-07-28,33
2019-08-04,44
2019-08-11,38
2019-08-18,44
2019-08-25,42
2019-09-01,44
2019-09-08,49
2019-09-15,35
2019-09-22,53
2019-09-29,47
2019-10-06,52
2019-10-13,39
2019-10-20,44
2019-10-27,45
2019-11-03,58
2019-11-10,49
2019-11-17,51
2019-11-24,44
2019-12-01,62
2019-12-08,67
2019-12-15,80
2019-12-22,60
2019-12-29,52
2020-01-05,48
2020-01-12,58
2020-01-19,44
2020-01-26,49
2020-02-02,53
2020-02-09,46
2020-02-16,39
2020-02-23,62
2020-03-01,43
2020-03-08,48
2020-03-15,68
2020-03-22,73
2020-03-29,70
2020-04-05,97
2020-04-12,80
2020-04-19,100
2020-04-26,80
2020-05-03,82
2020-05-10,64
2020-05-17,56
2020-05-24,58
2020-05-31,49
2020-06-07,67
2020-06-14,80
2020-06-21,47
2020-06-28,47
2020-07-05,51
2020-07-12,59
2020-07-19,42
2020-07-26,48
2020-08-02,73
2020-08-09,63
2020-08-16,43
2020-08-23,57
2020-08-30,40
2020-09-06,45
2020-09-13,70
2020-09-20,46
2020-09-27,43
2020-10-04,57
2020-10-11,61
2020-10-18,49
2020-10-25,47
2020-11-01,43
2020-11-08,70
2020-11-15,60
2020-11-22,54
2020-11-29,56
2020-12-06,64
2020-12-13,49
2020-12-20,70
2020-12-27,85
