Category: All categories

Week,Video game console: (Brazil)
2018-01-07,78
2018-01-14,66
2018-01-21,58
2018-01-28,60
2018-02-04,56
2018-02-11,61
2018-02-18,49
2018-02-25,61
2018-03-04,49
2018-03-11,62
2018-03-18,50
2018-03-25,56
2018-04-01,54
2018-04-08,57
2018-04-15,53
2018-04-22,57
2018-04-29,50
2018-05-06,51
2018-05-13,54
2018-05-20,58
2018-05-27,64
2018-06-03,64
2018-06-10,56
2018-06-17,55
2018-06-24,54
2018-07-01,58
2018-07-08,55
2018-07-15,69
2018-07-22,59
2018-07-29,61
2018-08-05,54
2018-08-12,61
2018-08-19,67
2018-08-26,55
2018-09-02,58
2018-09-09,53
2018-09-16,55
2018-09-23,53
2018-09-30,54
2018-10-07,55
2018-10-14,53
2018-10-21,47
2018-10-28,74
2018-11-04,56
2018-11-11,53
2018-11-18,72
2018-11-25,67
2018-12-02,70
2018-12-09,71
2018-12-16,57
2018-12-23,58
2018-12-30,50
2019-01-06,67
2019-01-13,56
2019-01-20,53
2019-01-27,44
2019-02-03,39
2019-02-10,29
2019-02-17,36
2019-02-24,35
2019-03-03,44
2019-03-10,38
2019-03-17,45
2019-03-24,31
2019-03-31,57
2019-04-07,43
2019-04-14,47
2019-04-21,57
2019-04-28,48
2019-05-05,44
2019-05-12,50
2019-05-19,58
2019-05-26,47
2019-06-02,48
2019-06-09,55
2019-06-16,58
2019-06-23,54
2019-06-30,72
2019-07-07,58
2019-07-14,63
2019-07-21,53
2019-07-28,63
2019-08-04,53
2019-08-11,67
2019-08-18,57
2019-08-25,61
2019-09-01,48
2019-09-08,56
2019-09-15,71
2019-09-22,52
2019-09-29,51
2019-10-06,56
2019-10-13,58
2019-10-20,52
2019-10-27,50
2019-11-03,44
2019-11-10,48
2019-11-17,61
2019-11-24,79
2019-12-01,59
2019-12-08,71
2019-12-15,59
2019-12-22,74
2019-12-29,66
2020-01-05,62
2020-01-12,58
2020-01-19,67
2020-01-26,61
2020-02-02,63
2020-02-09,50
2020-02-16,56
2020-02-23,55
2020-03-01,55
2020-03-08,56
2020-03-15,59
2020-03-22,68
2020-03-29,69
2020-04-05,76
2020-04-12,82
2020-04-19,79
2020-04-26,73
2020-05-03,75
2020-05-10,80
2020-05-17,74
2020-05-24,81
2020-05-31,68
2020-06-07,86
2020-06-14,100
2020-06-21,81
2020-06-28,85
2020-07-05,79
2020-07-12,66
2020-07-19,68
2020-07-26,63
2020-08-02,70
2020-08-09,59
2020-08-16,63
2020-08-23,64
2020-08-30,67
2020-09-06,54
2020-09-13,74
2020-09-20,72
2020-09-27,68
2020-10-04,53
2020-10-11,57
2020-10-18,56
2020-10-25,60
2020-11-01,64
2020-11-08,70
2020-11-15,71
2020-11-22,85
2020-11-29,66
2020-12-06,71
2020-12-13,69
2020-12-20,97
2020-12-27,85
