Category: All categories

Week,Video game console: (India)
2018-01-07,69
2018-01-14,41
2018-01-21,54
2018-01-28,58
2018-02-04,56
2018-02-11,57
2018-02-18,54
2018-02-25,60
2018-03-04,60
2018-03-11,62
2018-03-18,69
2018-03-25,56
2018-04-01,72
2018-04-08,61
2018-04-15,56
2018-04-22,57
2018-04-29,52
2018-05-06,64
2018-05-13,52
2018-05-20,48
2018-05-27,57
2018-06-03,56
2018-06-10,62
2018-06-17,41
2018-06-24,45
2018-07-01,39
2018-07-08,53
2018-07-15,43
2018-07-22,47
2018-07-29,60
2018-08-05,49
2018-08-12,46
2018-08-19,55
2018-08-26,42
2018-09-02,59
2018-09-09,60
2018-09-16,54
2018-09-23,50
2018-09-30,52
2018-10-07,48
2018-10-14,49
2018-10-21,51
2018-10-28,40
2018-11-04,41
2018-11-11,48
2018-11-18,55
2018-11-25,56
2018-12-02,50
2018-12-09,55
2018-12-16,58
2018-12-23,42
2018-12-30,44
2019-01-06,44
2019-01-13,53
2019-01-20,58
2019-01-27,48
2019-02-03,44
2019-02-10,61
2019-02-17,52
2019-02-24,45
2019-03-03,52
2019-03-10,44
2019-03-17,56
2019-03-24,46
2019-03-31,41
2019-04-07,41
2019-04-14,43
2019-04-21,47
2019-04-28,49
2019-05-05,52
2019-05-12,45
2019-05-19,34
2019-05-26,49
2019-06-02,42
2019-06-09,44
2019-06-16,49
2019-06-23,41
2019-06-30,48
2019-07-07,49
2019-07-14,65
2019-07-21,50
2019-07-28,46
2019-08-04,48
2019-08-11,47
2019-08-18,47
2019-08-25,48
2019-09-01,57
2019-09-08,58
2019-09-15,57
2019-09-22,55
2019-09-29,57
2019-10-06,59
2019-10-13,53
2019-10-20,58
2019-10-27,50
2019-11-03,62
2019-11-10,55
2019-11-17,54
2019-11-24,51
2019-12-01,49
2019-12-08,57
2019-12-15,79
2019-12-22,38
2019-12-29,48
2020-01-05,57
2020-01-12,60
2020-01-19,50
2020-01-26,45
2020-02-02,61
2020-02-09,58
2020-02-16,61
2020-02-23,61
2020-03-01,65
2020-03-08,68
2020-03-15,72
2020-03-22,51
2020-03-29,62
2020-04-05,67
2020-04-12,67
2020-04-19,72
2020-04-26,78
2020-05-03,82
2020-05-10,78
2020-05-17,69
2020-05-24,67
2020-05-31,84
2020-06-07,100
2020-06-14,85
2020-06-21,92
2020-06-28,88
2020-07-05,71
2020-07-12,76
2020-07-19,80
2020-07-26,80
2020-08-02,80
2020-08-09,70
2020-08-16,82
2020-08-23,78
2020-08-30,81
2020-09-06,79
2020-09-13,87
2020-09-20,70
2020-09-27,66
2020-10-04,67
2020-10-11,49
2020-10-18,63
2020-10-25,48
2020-11-01,49
2020-11-08,55
2020-11-15,66
2020-11-22,71
2020-11-29,57
2020-12-06,57
2020-12-13,68
2020-12-20,84
2020-12-27,54
