Category: All categories

Week,Video game console: (United Kingdom)
2018-01-07,13
2018-01-14,11
2018-01-21,13
2018-01-28,13
2018-02-04,13
2018-02-11,13
2018-02-18,11
2018-02-25,13
2018-03-04,13
2018-03-11,11
2018-03-18,12
2018-03-25,13
2018-04-01,12
2018-04-08,13
2018-04-15,10
2018-04-22,11
2018-04-29,11
2018-05-06,10
2018-05-13,10
2018-05-20,11
2018-05-27,11
2018-06-03,11
2018-06-10,12
2018-06-17,11
2018-06-24,11
2018-07-01,11
2018-07-08,10
2018-07-15,11
2018-07-22,11
2018-07-29,12
2018-08-05,12
2018-08-12,12
2018-08-19,12
2018-08-26,14
2018-09-02,13
2018-09-09,14
2018-09-16,15
2018-09-23,16
2018-09-30,15
2018-10-07,14
2018-10-14,14
2018-10-21,14
2018-10-28,15
2018-11-04,16
2018-11-11,19
2018-11-18,28
2018-11-25,20
2018-12-02,18
2018-12-09,17
2018-12-16,19
2018-12-23,22
2018-12-30,15
2019-01-06,11
2019-01-13,12
2019-01-20,13
2019-01-27,11
2019-02-03,12
2019-02-10,11
2019-02-17,12
2019-02-24,9
2019-03-03,12
2019-03-10,11
2019-03-17,11
2019-03-24,11
2019-03-31,10
2019-04-07,10
2019-04-14,11
2019-04-21,10
2019-04-28,10
2019-05-05,9
2019-05-12,9
2019-05-19,9
2019-05-26,10
2019-06-02,11
2019-06-09,14
2019-06-16,11
2019-06-23,10
2019-06-30,10
2019-07-07,10
2019-07-14,10
2019-07-21,8
2019-07-28,10
2019-08-04,10
2019-08-11,10
2019-08-18,12
2019-08-25,11
2019-09-01,11
2019-09-08,12
2019-09-15,12
2019-09-22,12
2019-09-29,11
2019-10-06,13
2019-10-13,13
2019-10-20,13
2019-10-27,14
2019-11-03,15
2019-11-10,15
2019-11-17,20
2019-11-24,23
2019-12-01,15
2019-12-08,15
2019-12-15,16
2019-12-22,20
2019-12-29,16
2020-01-05,13
2020-01-12,12
2020-01-19,12
2020-01-26,10
2020-02-02,11
2020-02-09,10
2020-02-16,11
2020-02-23,12
2020-03-01,12
2020-03-08,11
2020-03-15,18
2020-03-22,25
2020-03-29,28
2020-04-05,26
2020-04-12,23
2020-04-19,21
2020-04-26,24
2020-05-03,21
2020-05-10,22
2020-05-17,19
2020-05-24,17
2020-05-31,18
2020-06-07,21
2020-06-14,21
2020-06-21,15
2020-06-28,14
2020-07-05,15
2020-07-12,13
2020-07-19,12
2020-07-26,14
2020-08-02,14
2020-08-09,11
2020-08-16,14
2020-08-23,15
2020-08-30,14
2020-09-06,14
2020-09-13,20
2020-09-20,18
2020-09-27,17
2020-10-04,17
2020-10-11,17
2020-10-18,16
2020-10-25,17
2020-11-01,19
2020-11-08,30
2020-11-15,100
2020-11-22,67
2020-11-29,74
2020-12-06,61
2020-12-13,59
2020-12-20,55
2020-12-27,48
