Category: All categories

Week,Pet: (Colombia)
2018-01-07,64
2018-01-14,77
2018-01-21,62
2018-01-28,55
2018-02-04,59
2018-02-11,59
2018-02-18,60
2018-02-25,49
2018-03-04,59
2018-03-11,46
2018-03-18,65
2018-03-25,76
2018-04-01,72
2018-04-08,65
2018-04-15,58
2018-04-22,66
2018-04-29,67
2018-05-06,61
2018-05-13,59
2018-05-20,65
2018-05-27,66
2018-06-03,70
2018-06-10,77
2018-06-17,61
2018-06-24,54
2018-07-01,59
2018-07-08,65
2018-07-15,78
2018-07-22,79
2018-07-29,88
2018-08-05,68
2018-08-12,68
2018-08-19,71
2018-08-26,78
2018-09-02,69
2018-09-09,69
2018-09-16,66
2018-09-23,69
2018-09-30,77
2018-10-07,60
2018-10-14,65
2018-10-21,71
2018-10-28,82
2018-11-04,72
2018-11-11,72
2018-11-18,73
2018-11-25,69
2018-12-02,59
2018-12-09,72
2018-12-16,70
2018-12-23,89
2018-12-30,84
2019-01-06,65
2019-01-13,76
2019-01-20,65
2019-01-27,66
2019-02-03,68
2019-02-10,72
2019-02-17,78
2019-02-24,70
2019-03-03,70
2019-03-10,72
2019-03-17,74
2019-03-24,77
2019-03-31,82
2019-04-07,80
2019-04-14,85
2019-04-21,76
2019-04-28,72
2019-05-05,62
2019-05-12,74
2019-05-19,64
2019-05-26,72
2019-06-02,81
2019-06-09,79
2019-06-16,65
2019-06-23,75
2019-06-30,80
2019-07-07,80
2019-07-14,69
2019-07-21,57
2019-07-28,85
2019-08-04,93
2019-08-11,81
2019-08-18,74
2019-08-25,80
2019-09-01,70
2019-09-08,64
2019-09-15,73
2019-09-22,71
2019-09-29,72
2019-10-06,63
2019-10-13,76
2019-10-20,69
2019-10-27,73
2019-11-03,70
2019-11-10,85
2019-11-17,70
2019-11-24,70
2019-12-01,86
2019-12-08,75
2019-12-15,92
2019-12-22,96
2019-12-29,91
2020-01-05,83
2020-01-12,70
2020-01-19,79
2020-01-26,73
2020-02-02,69
2020-02-09,69
2020-02-16,71
2020-02-23,78
2020-03-01,75
2020-03-08,79
2020-03-15,63
2020-03-22,77
2020-03-29,70
2020-04-05,74
2020-04-12,70
2020-04-19,78
2020-04-26,81
2020-05-03,72
2020-05-10,78
2020-05-17,88
2020-05-24,92
2020-05-31,81
2020-06-07,90
2020-06-14,95
2020-06-21,92
2020-06-28,100
2020-07-05,100
2020-07-12,94
2020-07-19,98
2020-07-26,90
2020-08-02,80
2020-08-09,89
2020-08-16,98
2020-08-23,81
2020-08-30,82
2020-09-06,83
2020-09-13,90
2020-09-20,90
2020-09-27,79
2020-10-04,97
2020-10-11,93
2020-10-18,86
2020-10-25,88
2020-11-01,80
2020-11-08,94
2020-11-15,81
2020-11-22,90
2020-11-29,91
2020-12-06,85
2020-12-13,94
2020-12-20,83
2020-12-27,91
