Category: All categories

Week,Pet: (France)
2018-01-07,49
2018-01-14,44
2018-01-21,43
2018-01-28,44
2018-02-04,48
2018-02-11,50
2018-02-18,61
2018-02-25,45
2018-03-04,51
2018-03-11,43
2018-03-18,46
2018-03-25,43
2018-04-01,47
2018-04-08,50
2018-04-15,52
2018-04-22,42
2018-04-29,45
2018-05-06,46
2018-05-13,42
2018-05-20,43
2018-05-27,48
2018-06-03,54
2018-06-10,45
2018-06-17,46
2018-06-24,43
2018-07-01,44
2018-07-08,47
2018-07-15,54
2018-07-22,59
2018-07-29,53
2018-08-05,54
2018-08-12,53
2018-08-19,58
2018-08-26,56
2018-09-02,52
2018-09-09,55
2018-09-16,60
2018-09-23,52
2018-09-30,45
2018-10-07,51
2018-10-14,54
2018-10-21,43
2018-10-28,50
2018-11-04,35
2018-11-11,43
2018-11-18,53
2018-11-25,49
2018-12-02,46
2018-12-09,43
2018-12-16,54
2018-12-23,52
2018-12-30,52
2019-01-06,48
2019-01-13,43
2019-01-20,52
2019-01-27,73
2019-02-03,84
2019-02-10,84
2019-02-17,96
2019-02-24,90
2019-03-03,76
2019-03-10,82
2019-03-17,100
2019-03-24,84
2019-03-31,49
2019-04-07,46
2019-04-14,55
2019-04-21,51
2019-04-28,62
2019-05-05,51
2019-05-12,53
2019-05-19,55
2019-05-26,51
2019-06-02,54
2019-06-09,53
2019-06-16,40
2019-06-23,41
2019-06-30,55
2019-07-07,51
2019-07-14,58
2019-07-21,59
2019-07-28,70
2019-08-04,66
2019-08-11,71
2019-08-18,67
2019-08-25,57
2019-09-01,59
2019-09-08,54
2019-09-15,53
2019-09-22,48
2019-09-29,58
2019-10-06,59
2019-10-13,59
2019-10-20,55
2019-10-27,46
2019-11-03,54
2019-11-10,54
2019-11-17,52
2019-11-24,52
2019-12-01,47
2019-12-08,54
2019-12-15,51
2019-12-22,50
2019-12-29,57
2020-01-05,48
2020-01-12,48
2020-01-19,55
2020-01-26,49
2020-02-02,48
2020-02-09,40
2020-02-16,56
2020-02-23,51
2020-03-01,53
2020-03-08,57
2020-03-15,53
2020-03-22,53
2020-03-29,46
2020-04-05,52
2020-04-12,63
2020-04-19,55
2020-04-26,50
2020-05-03,48
2020-05-10,52
2020-05-17,52
2020-05-24,53
2020-05-31,42
2020-06-07,51
2020-06-14,42
2020-06-21,51
2020-06-28,60
2020-07-05,55
2020-07-12,58
2020-07-19,53
2020-07-26,59
2020-08-02,55
2020-08-09,55
2020-08-16,52
2020-08-23,55
2020-08-30,47
2020-09-06,46
2020-09-13,51
2020-09-20,48
2020-09-27,44
2020-10-04,45
2020-10-11,49
2020-10-18,41
2020-10-25,39
2020-11-01,58
2020-11-08,51
2020-11-15,46
2020-11-22,49
2020-11-29,52
2020-12-06,46
2020-12-13,48
2020-12-20,61
2020-12-27,64
