Category: All categories

Week,Pet: (Switzerland)
2018-01-07,34
2018-01-14,35
2018-01-21,40
2018-01-28,69
2018-02-04,37
2018-02-11,47
2018-02-18,32
2018-02-25,41
2018-03-04,45
2018-03-11,29
2018-03-18,51
2018-03-25,33
2018-04-01,35
2018-04-08,45
2018-04-15,57
2018-04-22,25
2018-04-29,60
2018-05-06,31
2018-05-13,39
2018-05-20,49
2018-05-27,25
2018-06-03,37
2018-06-10,52
2018-06-17,44
2018-06-24,45
2018-07-01,35
2018-07-08,35
2018-07-15,66
2018-07-22,31
2018-07-29,53
2018-08-05,45
2018-08-12,43
2018-08-19,38
2018-08-26,34
2018-09-02,43
2018-09-09,40
2018-09-16,30
2018-09-23,10
2018-09-30,41
2018-10-07,26
2018-10-14,34
2018-10-21,42
2018-10-28,55
2018-11-04,40
2018-11-11,41
2018-11-18,40
2018-11-25,35
2018-12-02,24
2018-12-09,34
2018-12-16,33
2018-12-23,52
2018-12-30,49
2019-01-06,44
2019-01-13,49
2019-01-20,32
2019-01-27,61
2019-02-03,96
2019-02-10,93
2019-02-17,82
2019-02-24,100
2019-03-03,85
2019-03-10,51
2019-03-17,82
2019-03-24,63
2019-03-31,52
2019-04-07,47
2019-04-14,40
2019-04-21,55
2019-04-28,21
2019-05-05,30
2019-05-12,47
2019-05-19,46
2019-05-26,43
2019-06-02,45
2019-06-09,61
2019-06-16,34
2019-06-23,23
2019-06-30,40
2019-07-07,42
2019-07-14,34
2019-07-21,67
2019-07-28,47
2019-08-04,46
2019-08-11,56
2019-08-18,40
2019-08-25,59
2019-09-01,52
2019-09-08,52
2019-09-15,48
2019-09-22,37
2019-09-29,51
2019-10-06,49
2019-10-13,42
2019-10-20,59
2019-10-27,29
2019-11-03,40
2019-11-10,45
2019-11-17,71
2019-11-24,39
2019-12-01,54
2019-12-08,45
2019-12-15,27
2019-12-22,43
2019-12-29,55
2020-01-05,48
2020-01-12,59
2020-01-19,49
2020-01-26,43
2020-02-02,43
2020-02-09,52
2020-02-16,41
2020-02-23,47
2020-03-01,44
2020-03-08,32
2020-03-15,32
2020-03-22,36
2020-03-29,63
2020-04-05,60
2020-04-12,55
2020-04-19,69
2020-04-26,41
2020-05-03,34
2020-05-10,51
2020-05-17,49
2020-05-24,49
2020-05-31,30
2020-06-07,37
2020-06-14,64
2020-06-21,50
2020-06-28,34
2020-07-05,50
2020-07-12,57
2020-07-19,63
2020-07-26,51
2020-08-02,52
2020-08-09,32
2020-08-16,34
2020-08-23,46
2020-08-30,33
2020-09-06,45
2020-09-13,43
2020-09-20,33
2020-09-27,50
2020-10-04,46
2020-10-11,52
2020-10-18,35
2020-10-25,43
2020-11-01,45
2020-11-08,41
2020-11-15,54
2020-11-22,54
2020-11-29,59
2020-12-06,40
2020-12-13,41
2020-12-20,59
2020-12-27,47
