Category: All categories

Week,Pet: (Argentina)
2018-01-07,69
2018-01-14,75
2018-01-21,64
2018-01-28,73
2018-02-04,65
2018-02-11,73
2018-02-18,65
2018-02-25,61
2018-03-04,50
2018-03-11,59
2018-03-18,60
2018-03-25,64
2018-04-01,66
2018-04-08,63
2018-04-15,60
2018-04-22,60
2018-04-29,68
2018-05-06,70
2018-05-13,45
2018-05-20,63
2018-05-27,65
2018-06-03,68
2018-06-10,82
2018-06-17,69
2018-06-24,64
2018-07-01,62
2018-07-08,70
2018-07-15,72
2018-07-22,66
2018-07-29,68
2018-08-05,66
2018-08-12,68
2018-08-19,66
2018-08-26,57
2018-09-02,59
2018-09-09,69
2018-09-16,51
2018-09-23,52
2018-09-30,65
2018-10-07,67
2018-10-14,64
2018-10-21,64
2018-10-28,73
2018-11-04,70
2018-11-11,59
2018-11-18,68
2018-11-25,66
2018-12-02,64
2018-12-09,73
2018-12-16,62
2018-12-23,81
2018-12-30,75
2019-01-06,88
2019-01-13,85
2019-01-20,88
2019-01-27,91
2019-02-03,84
2019-02-10,72
2019-02-17,74
2019-02-24,65
2019-03-03,65
2019-03-10,58
2019-03-17,61
2019-03-24,79
2019-03-31,64
2019-04-07,66
2019-04-14,66
2019-04-21,56
2019-04-28,69
2019-05-05,60
2019-05-12,67
2019-05-19,65
2019-05-26,57
2019-06-02,70
2019-06-09,71
2019-06-16,51
2019-06-23,81
2019-06-30,70
2019-07-07,80
2019-07-14,79
2019-07-21,80
2019-07-28,81
2019-08-04,70
2019-08-11,72
2019-08-18,68
2019-08-25,69
2019-09-01,69
2019-09-08,58
2019-09-15,77
2019-09-22,69
2019-09-29,64
2019-10-06,66
2019-10-13,57
2019-10-20,53
2019-10-27,66
2019-11-03,56
2019-11-10,59
2019-11-17,75
2019-11-24,84
2019-12-01,78
2019-12-08,63
2019-12-15,73
2019-12-22,86
2019-12-29,78
2020-01-05,100
2020-01-12,98
2020-01-19,88
2020-01-26,84
2020-02-02,91
2020-02-09,66
2020-02-16,77
2020-02-23,81
2020-03-01,64
2020-03-08,59
2020-03-15,81
2020-03-22,86
2020-03-29,69
2020-04-05,69
2020-04-12,61
2020-04-19,72
2020-04-26,100
2020-05-03,77
2020-05-10,69
2020-05-17,75
2020-05-24,65
2020-05-31,73
2020-06-07,65
2020-06-14,65
2020-06-21,69
2020-06-28,68
2020-07-05,76
2020-07-12,87
2020-07-19,89
2020-07-26,81
2020-08-02,73
2020-08-09,83
2020-08-16,85
2020-08-23,71
2020-08-30,67
2020-09-06,88
2020-09-13,81
2020-09-20,75
2020-09-27,72
2020-10-04,75
2020-10-11,82
2020-10-18,76
2020-10-25,77
2020-11-01,63
2020-11-08,74
2020-11-15,79
2020-11-22,57
2020-11-29,70
2020-12-06,76
2020-12-13,77
2020-12-20,71
2020-12-27,76
