Category: All categories

Week,Pet: (Russia)
2018-01-07,77
2018-01-14,71
2018-01-21,72
2018-01-28,72
2018-02-04,77
2018-02-11,74
2018-02-18,65
2018-02-25,60
2018-03-04,62
2018-03-11,54
2018-03-18,63
2018-03-25,69
2018-04-01,65
2018-04-08,55
2018-04-15,78
2018-04-22,62
2018-04-29,68
2018-05-06,69
2018-05-13,44
2018-05-20,55
2018-05-27,54
2018-06-03,57
2018-06-10,57
2018-06-17,46
2018-06-24,63
2018-07-01,81
2018-07-08,70
2018-07-15,60
2018-07-22,62
2018-07-29,61
2018-08-05,59
2018-08-12,62
2018-08-19,85
2018-08-26,82
2018-09-02,60
2018-09-09,68
2018-09-16,64
2018-09-23,63
2018-09-30,60
2018-10-07,63
2018-10-14,78
2018-10-21,84
2018-10-28,76
2018-11-04,79
2018-11-11,67
2018-11-18,100
2018-11-25,80
2018-12-02,74
2018-12-09,84
2018-12-16,61
2018-12-23,76
2018-12-30,90
2019-01-06,68
2019-01-13,63
2019-01-20,72
2019-01-27,60
2019-02-03,65
2019-02-10,55
2019-02-17,57
2019-02-24,53
2019-03-03,61
2019-03-10,50
2019-03-17,61
2019-03-24,57
2019-03-31,75
2019-04-07,87
2019-04-14,86
2019-04-21,66
2019-04-28,78
2019-05-05,69
2019-05-12,64
2019-05-19,64
2019-05-26,50
2019-06-02,63
2019-06-09,69
2019-06-16,68
2019-06-23,57
2019-06-30,64
2019-07-07,69
2019-07-14,64
2019-07-21,51
2019-07-28,59
2019-08-04,57
2019-08-11,51
2019-08-18,70
2019-08-25,71
2019-09-01,61
2019-09-08,62
2019-09-15,61
2019-09-22,54
2019-09-29,58
2019-10-06,53
2019-10-13,57
2019-10-20,61
2019-10-27,60
2019-11-03,54
2019-11-10,62
2019-11-17,72
2019-11-24,69
2019-12-01,67
2019-12-08,76
2019-12-15,78
2019-12-22,70
2019-12-29,67
2020-01-05,62
2020-01-12,63
2020-01-19,75
2020-01-26,74
2020-02-02,66
2020-02-09,64
2020-02-16,59
2020-02-23,74
2020-03-01,74
2020-03-08,72
2020-03-15,66
2020-03-22,77
2020-03-29,78
2020-04-05,79
2020-04-12,85
2020-04-19,91
2020-04-26,70
2020-05-03,73
2020-05-10,70
2020-05-17,69
2020-05-24,56
2020-05-31,61
2020-06-07,75
2020-06-14,58
2020-06-21,58
2020-06-28,52
2020-07-05,52
2020-07-12,69
2020-07-19,60
2020-07-26,56
2020-08-02,65
2020-08-09,59
2020-08-16,72
2020-08-23,73
2020-08-30,63
2020-09-06,58
2020-09-13,46
2020-09-20,59
2020-09-27,70
2020-10-04,62
2020-10-11,64
2020-10-18,75
2020-10-25,64
2020-11-01,74
2020-11-08,69
2020-11-15,72
2020-11-22,82
2020-11-29,73
2020-12-06,77
2020-12-13,56
2020-12-20,66
2020-12-27,65
