Category: All categories

Week,Pet: (Sweden)
2018-01-07,61
2018-01-14,49
2018-01-21,38
2018-01-28,38
2018-02-04,28
2018-02-11,44
2018-02-18,47
2018-02-25,35
2018-03-04,47
2018-03-11,49
2018-03-18,42
2018-03-25,46
2018-04-01,53
2018-04-08,39
2018-04-15,59
2018-04-22,42
2018-04-29,50
2018-05-06,52
2018-05-13,26
2018-05-20,39
2018-05-27,43
2018-06-03,40
2018-06-10,47
2018-06-17,19
2018-06-24,51
2018-07-01,60
2018-07-08,63
2018-07-15,67
2018-07-22,60
2018-07-29,80
2018-08-05,81
2018-08-12,54
2018-08-19,77
2018-08-26,56
2018-09-02,63
2018-09-09,41
2018-09-16,68
2018-09-23,67
2018-09-30,64
2018-10-07,65
2018-10-14,63
2018-10-21,50
2018-10-28,55
2018-11-04,45
2018-11-11,60
2018-11-18,61
2018-11-25,42
2018-12-02,37
2018-12-09,54
2018-12-16,58
2018-12-23,32
2018-12-30,52
2019-01-06,52
2019-01-13,42
2019-01-20,51
2019-01-27,34
2019-02-03,40
2019-02-10,79
2019-02-17,49
2019-02-24,76
2019-03-03,60
2019-03-10,43
2019-03-17,60
2019-03-24,64
2019-03-31,46
2019-04-07,41
2019-04-14,64
2019-04-21,28
2019-04-28,50
2019-05-05,44
2019-05-12,37
2019-05-19,41
2019-05-26,32
2019-06-02,50
2019-06-09,52
2019-06-16,35
2019-06-23,39
2019-06-30,55
2019-07-07,50
2019-07-14,39
2019-07-21,53
2019-07-28,51
2019-08-04,52
2019-08-11,54
2019-08-18,40
2019-08-25,83
2019-09-01,87
2019-09-08,71
2019-09-15,65
2019-09-22,70
2019-09-29,51
2019-10-06,53
2019-10-13,50
2019-10-20,57
2019-10-27,56
2019-11-03,66
2019-11-10,54
2019-11-17,53
2019-11-24,52
2019-12-01,55
2019-12-08,44
2019-12-15,53
2019-12-22,52
2019-12-29,43
2020-01-05,41
2020-01-12,71
2020-01-19,75
2020-01-26,51
2020-02-02,44
2020-02-09,63
2020-02-16,71
2020-02-23,62
2020-03-01,60
2020-03-08,58
2020-03-15,67
2020-03-22,65
2020-03-29,67
2020-04-05,77
2020-04-12,65
2020-04-19,67
2020-04-26,75
2020-05-03,60
2020-05-10,80
2020-05-17,83
2020-05-24,65
2020-05-31,59
2020-06-07,63
2020-06-14,47
2020-06-21,54
2020-06-28,63
2020-07-05,70
2020-07-12,70
2020-07-19,51
2020-07-26,77
2020-08-02,62
2020-08-09,75
2020-08-16,54
2020-08-23,53
2020-08-30,60
2020-09-06,61
2020-09-13,82
2020-09-20,64
2020-09-27,55
2020-10-04,100
2020-10-11,55
2020-10-18,52
2020-10-25,78
2020-11-01,59
2020-11-08,69
2020-11-15,59
2020-11-22,65
2020-11-29,71
2020-12-06,80
2020-12-13,65
2020-12-20,77
2020-12-27,58
