Category: All categories

Week,Pet: (Indonesia)
2018-01-07,42
2018-01-14,39
2018-01-21,37
2018-01-28,47
2018-02-04,46
2018-02-11,52
2018-02-18,46
2018-02-25,51
2018-03-04,63
2018-03-11,52
2018-03-18,48
2018-03-25,57
2018-04-01,41
2018-04-08,48
2018-04-15,43
2018-04-22,43
2018-04-29,41
2018-05-06,43
2018-05-13,44
2018-05-20,39
2018-05-27,41
2018-06-03,49
2018-06-10,42
2018-06-17,50
2018-06-24,47
2018-07-01,39
2018-07-08,46
2018-07-15,41
2018-07-22,47
2018-07-29,48
2018-08-05,43
2018-08-12,42
2018-08-19,41
2018-08-26,47
2018-09-02,40
2018-09-09,45
2018-09-16,49
2018-09-23,50
2018-09-30,47
2018-10-07,61
2018-10-14,47
2018-10-21,49
2018-10-28,62
2018-11-04,78
2018-11-11,63
2018-11-18,70
2018-11-25,73
2018-12-02,65
2018-12-09,67
2018-12-16,64
2018-12-23,62
2018-12-30,64
2019-01-06,63
2019-01-13,64
2019-01-20,65
2019-01-27,79
2019-02-03,87
2019-02-10,85
2019-02-17,75
2019-02-24,69
2019-03-03,75
2019-03-10,72
2019-03-17,89
2019-03-24,82
2019-03-31,65
2019-04-07,63
2019-04-14,57
2019-04-21,60
2019-04-28,59
2019-05-05,63
2019-05-12,54
2019-05-19,71
2019-05-26,69
2019-06-02,69
2019-06-09,82
2019-06-16,59
2019-06-23,67
2019-06-30,64
2019-07-07,71
2019-07-14,70
2019-07-21,72
2019-07-28,67
2019-08-04,61
2019-08-11,56
2019-08-18,71
2019-08-25,50
2019-09-01,59
2019-09-08,59
2019-09-15,67
2019-09-22,57
2019-09-29,62
2019-10-06,67
2019-10-13,68
2019-10-20,53
2019-10-27,68
2019-11-03,67
2019-11-10,68
2019-11-17,54
2019-11-24,60
2019-12-01,62
2019-12-08,58
2019-12-15,71
2019-12-22,69
2019-12-29,64
2020-01-05,61
2020-01-12,57
2020-01-19,65
2020-01-26,75
2020-02-02,84
2020-02-09,77
2020-02-16,69
2020-02-23,52
2020-03-01,63
2020-03-08,54
2020-03-15,89
2020-03-22,92
2020-03-29,84
2020-04-05,71
2020-04-12,77
2020-04-19,73
2020-04-26,70
2020-05-03,67
2020-05-10,71
2020-05-17,76
2020-05-24,79
2020-05-31,77
2020-06-07,87
2020-06-14,100
2020-06-21,67
2020-06-28,58
2020-07-05,66
2020-07-12,70
2020-07-19,79
2020-07-26,70
2020-08-02,79
2020-08-09,76
2020-08-16,72
2020-08-23,73
2020-08-30,83
2020-09-06,91
2020-09-13,88
2020-09-20,94
2020-09-27,98
2020-10-04,87
2020-10-11,95
2020-10-18,83
2020-10-25,83
2020-11-01,84
2020-11-08,76
2020-11-15,77
2020-11-22,73
2020-11-29,89
2020-12-06,92
2020-12-13,64
2020-12-20,70
2020-12-27,72
