Category: All categories

Week,Pet: (Hong Kong)
2018-01-07,51
2018-01-14,73
2018-01-21,74
2018-01-28,61
2018-02-04,74
2018-02-11,57
2018-02-18,62
2018-02-25,61
2018-03-04,43
2018-03-11,64
2018-03-18,57
2018-03-25,49
2018-04-01,72
2018-04-08,65
2018-04-15,52
2018-04-22,70
2018-04-29,48
2018-05-06,67
2018-05-13,46
2018-05-20,69
2018-05-27,76
2018-06-03,59
2018-06-10,52
2018-06-17,57
2018-06-24,75
2018-07-01,65
2018-07-08,73
2018-07-15,52
2018-07-22,76
2018-07-29,47
2018-08-05,61
2018-08-12,67
2018-08-19,63
2018-08-26,49
2018-09-02,46
2018-09-09,38
2018-09-16,45
2018-09-23,75
2018-09-30,57
2018-10-07,55
2018-10-14,43
2018-10-21,45
2018-10-28,68
2018-11-04,75
2018-11-11,66
2018-11-18,48
2018-11-25,52
2018-12-02,62
2018-12-09,58
2018-12-16,62
2018-12-23,65
2018-12-30,74
2019-01-06,58
2019-01-13,89
2019-01-20,67
2019-01-27,39
2019-02-03,24
2019-02-10,35
2019-02-17,27
2019-02-24,32
2019-03-03,28
2019-03-10,33
2019-03-17,30
2019-03-24,23
2019-03-31,54
2019-04-07,54
2019-04-14,52
2019-04-21,70
2019-04-28,68
2019-05-05,60
2019-05-12,66
2019-05-19,71
2019-05-26,66
2019-06-02,82
2019-06-09,68
2019-06-16,71
2019-06-23,88
2019-06-30,75
2019-07-07,69
2019-07-14,62
2019-07-21,62
2019-07-28,62
2019-08-04,61
2019-08-11,56
2019-08-18,54
2019-08-25,56
2019-09-01,63
2019-09-08,62
2019-09-15,60
2019-09-22,59
2019-09-29,56
2019-10-06,44
2019-10-13,49
2019-10-20,53
2019-10-27,47
2019-11-03,53
2019-11-10,38
2019-11-17,65
2019-11-24,53
2019-12-01,79
2019-12-08,57
2019-12-15,79
2019-12-22,81
2019-12-29,68
2020-01-05,64
2020-01-12,71
2020-01-19,81
2020-01-26,64
2020-02-02,57
2020-02-09,64
2020-02-16,76
2020-02-23,82
2020-03-01,77
2020-03-08,92
2020-03-15,71
2020-03-22,70
2020-03-29,70
2020-04-05,68
2020-04-12,71
2020-04-19,67
2020-04-26,85
2020-05-03,71
2020-05-10,82
2020-05-17,76
2020-05-24,73
2020-05-31,59
2020-06-07,64
2020-06-14,64
2020-06-21,68
2020-06-28,78
2020-07-05,70
2020-07-12,77
2020-07-19,80
2020-07-26,76
2020-08-02,76
2020-08-09,74
2020-08-16,83
2020-08-23,100
2020-08-30,76
2020-09-06,77
2020-09-13,77
2020-09-20,66
2020-09-27,66
2020-10-04,83
2020-10-11,70
2020-10-18,88
2020-10-25,74
2020-11-01,71
2020-11-08,69
2020-11-15,73
2020-11-22,79
2020-11-29,88
2020-12-06,67
2020-12-13,80
2020-12-20,89
2020-12-27,74
