Category: All categories

Week,Pet: (Ireland)
2018-01-07,50
2018-01-14,54
2018-01-21,51
2018-01-28,55
2018-02-04,53
2018-02-11,53
2018-02-18,55
2018-02-25,44
2018-03-04,57
2018-03-11,50
2018-03-18,50
2018-03-25,63
2018-04-01,58
2018-04-08,61
2018-04-15,58
2018-04-22,70
2018-04-29,41
2018-05-06,58
2018-05-13,44
2018-05-20,54
2018-05-27,51
2018-06-03,63
2018-06-10,54
2018-06-17,58
2018-06-24,56
2018-07-01,71
2018-07-08,71
2018-07-15,60
2018-07-22,68
2018-07-29,52
2018-08-05,75
2018-08-12,69
2018-08-19,62
2018-08-26,40
2018-09-02,74
2018-09-09,56
2018-09-16,60
2018-09-23,57
2018-09-30,48
2018-10-07,51
2018-10-14,66
2018-10-21,50
2018-10-28,71
2018-11-04,64
2018-11-11,58
2018-11-18,66
2018-11-25,69
2018-12-02,49
2018-12-09,52
2018-12-16,55
2018-12-23,56
2018-12-30,69
2019-01-06,47
2019-01-13,55
2019-01-20,58
2019-01-27,61
2019-02-03,49
2019-02-10,56
2019-02-17,54
2019-02-24,57
2019-03-03,43
2019-03-10,60
2019-03-17,61
2019-03-24,51
2019-03-31,63
2019-04-07,53
2019-04-14,61
2019-04-21,55
2019-04-28,64
2019-05-05,60
2019-05-12,54
2019-05-19,47
2019-05-26,57
2019-06-02,60
2019-06-09,61
2019-06-16,51
2019-06-23,63
2019-06-30,51
2019-07-07,71
2019-07-14,68
2019-07-21,76
2019-07-28,60
2019-08-04,57
2019-08-11,59
2019-08-18,67
2019-08-25,49
2019-09-01,44
2019-09-08,63
2019-09-15,55
2019-09-22,49
2019-09-29,53
2019-10-06,55
2019-10-13,59
2019-10-20,55
2019-10-27,82
2019-11-03,60
2019-11-10,56
2019-11-17,52
2019-11-24,70
2019-12-01,64
2019-12-08,51
2019-12-15,52
2019-12-22,65
2019-12-29,47
2020-01-05,49
2020-01-12,62
2020-01-19,59
2020-01-26,63
2020-02-02,73
2020-02-09,47
2020-02-16,62
2020-02-23,46
2020-03-01,66
2020-03-08,52
2020-03-15,62
2020-03-22,78
2020-03-29,64
2020-04-05,65
2020-04-12,86
2020-04-19,74
2020-04-26,84
2020-05-03,70
2020-05-10,83
2020-05-17,72
2020-05-24,69
2020-05-31,86
2020-06-07,98
2020-06-14,92
2020-06-21,66
2020-06-28,88
2020-07-05,89
2020-07-12,100
2020-07-19,86
2020-07-26,99
2020-08-02,91
2020-08-09,83
2020-08-16,92
2020-08-23,91
2020-08-30,69
2020-09-06,66
2020-09-13,66
2020-09-20,63
2020-09-27,72
2020-10-04,71
2020-10-11,61
2020-10-18,68
2020-10-25,72
2020-11-01,72
2020-11-08,76
2020-11-15,75
2020-11-22,91
2020-11-29,84
2020-12-06,72
2020-12-13,70
2020-12-20,83
2020-12-27,87
