Category: All categories

Week,Pet: (United States)
2018-01-07,78
2018-01-14,79
2018-01-21,75
2018-01-28,76
2018-02-04,76
2018-02-11,76
2018-02-18,81
2018-02-25,77
2018-03-04,77
2018-03-11,79
2018-03-18,79
2018-03-25,81
2018-04-01,78
2018-04-08,84
2018-04-15,75
2018-04-22,77
2018-04-29,80
2018-05-06,77
2018-05-13,77
2018-05-20,80
2018-05-27,81
2018-06-03,80
2018-06-10,85
2018-06-17,81
2018-06-24,86
2018-07-01,87
2018-07-08,86
2018-07-15,87
2018-07-22,86
2018-07-29,82
2018-08-05,83
2018-08-12,81
2018-08-19,78
2018-08-26,77
2018-09-02,77
2018-09-09,76
2018-09-16,74
2018-09-23,73
2018-09-30,72
2018-10-07,70
2018-10-14,72
2018-10-21,70
2018-10-28,70
2018-11-04,76
2018-11-11,76
2018-11-18,80
2018-11-25,73
2018-12-02,80
2018-12-09,75
2018-12-16,84
2018-12-23,84
2018-12-30,81
2019-01-06,75
2019-01-13,73
2019-01-20,75
2019-01-27,72
2019-02-03,75
2019-02-10,74
2019-02-17,82
2019-02-24,76
2019-03-03,75
2019-03-10,80
2019-03-17,79
2019-03-24,79
2019-03-31,79
2019-04-07,90
2019-04-14,79
2019-04-21,76
2019-04-28,78
2019-05-05,75
2019-05-12,81
2019-05-19,78
2019-05-26,82
2019-06-02,82
2019-06-09,83
2019-06-16,87
2019-06-23,88
2019-06-30,88
2019-07-07,86
2019-07-14,88
2019-07-21,82
2019-07-28,82
2019-08-04,81
2019-08-11,85
2019-08-18,79
2019-08-25,77
2019-09-01,79
2019-09-08,75
2019-09-15,75
2019-09-22,75
2019-09-29,76
2019-10-06,72
2019-10-13,74
2019-10-20,73
2019-10-27,72
2019-11-03,74
2019-11-10,73
2019-11-17,75
2019-11-24,82
2019-12-01,80
2019-12-08,77
2019-12-15,79
2019-12-22,84
2019-12-29,83
2020-01-05,77
2020-01-12,78
2020-01-19,81
2020-01-26,74
2020-02-02,78
2020-02-09,78
2020-02-16,84
2020-02-23,80
2020-03-01,81
2020-03-08,77
2020-03-15,79
2020-03-22,85
2020-03-29,85
2020-04-05,91
2020-04-12,91
2020-04-19,91
2020-04-26,98
2020-05-03,97
2020-05-10,95
2020-05-17,98
2020-05-24,98
2020-05-31,92
2020-06-07,100
2020-06-14,95
2020-06-21,97
2020-06-28,98
2020-07-05,92
2020-07-12,94
2020-07-19,97
2020-07-26,95
2020-08-02,94
2020-08-09,97
2020-08-16,100
2020-08-23,91
2020-08-30,91
2020-09-06,91
2020-09-13,87
2020-09-20,88
2020-09-27,87
2020-10-04,87
2020-10-11,88
2020-10-18,91
2020-10-25,85
2020-11-01,72
2020-11-08,91
2020-11-15,93
2020-11-22,98
2020-11-29,94
2020-12-06,96
2020-12-13,95
2020-12-20,93
2020-12-27,96
