Category: All categories

Week,Pet: (Israel)
2018-01-07,37
2018-01-14,57
2018-01-21,56
2018-01-28,58
2018-02-04,72
2018-02-11,45
2018-02-18,36
2018-02-25,53
2018-03-04,58
2018-03-11,54
2018-03-18,77
2018-03-25,65
2018-04-01,74
2018-04-08,42
2018-04-15,26
2018-04-22,65
2018-04-29,43
2018-05-06,35
2018-05-13,33
2018-05-20,48
2018-05-27,40
2018-06-03,62
2018-06-10,59
2018-06-17,57
2018-06-24,53
2018-07-01,18
2018-07-08,27
2018-07-15,65
2018-07-22,69
2018-07-29,55
2018-08-05,39
2018-08-12,55
2018-08-19,41
2018-08-26,63
2018-09-02,50
2018-09-09,33
2018-09-16,60
2018-09-23,46
2018-09-30,72
2018-10-07,33
2018-10-14,33
2018-10-21,42
2018-10-28,50
2018-11-04,38
2018-11-11,41
2018-11-18,73
2018-11-25,53
2018-12-02,39
2018-12-09,50
2018-12-16,74
2018-12-23,50
2018-12-30,48
2019-01-06,53
2019-01-13,60
2019-01-20,36
2019-01-27,68
2019-02-03,55
2019-02-10,51
2019-02-17,56
2019-02-24,68
2019-03-03,43
2019-03-10,59
2019-03-17,59
2019-03-24,52
2019-03-31,53
2019-04-07,54
2019-04-14,30
2019-04-21,61
2019-04-28,38
2019-05-05,46
2019-05-12,44
2019-05-19,65
2019-05-26,48
2019-06-02,63
2019-06-09,39
2019-06-16,60
2019-06-23,56
2019-06-30,45
2019-07-07,78
2019-07-14,52
2019-07-21,42
2019-07-28,49
2019-08-04,52
2019-08-11,34
2019-08-18,61
2019-08-25,77
2019-09-01,65
2019-09-08,48
2019-09-15,86
2019-09-22,61
2019-09-29,48
2019-10-06,79
2019-10-13,89
2019-10-20,58
2019-10-27,62
2019-11-03,55
2019-11-10,50
2019-11-17,48
2019-11-24,28
2019-12-01,56
2019-12-08,60
2019-12-15,39
2019-12-22,44
2019-12-29,59
2020-01-05,36
2020-01-12,65
2020-01-19,100
2020-01-26,61
2020-02-02,60
2020-02-09,55
2020-02-16,52
2020-02-23,65
2020-03-01,44
2020-03-08,81
2020-03-15,67
2020-03-22,69
2020-03-29,53
2020-04-05,52
2020-04-12,54
2020-04-19,87
2020-04-26,84
2020-05-03,77
2020-05-10,63
2020-05-17,67
2020-05-24,61
2020-05-31,98
2020-06-07,91
2020-06-14,68
2020-06-21,64
2020-06-28,78
2020-07-05,87
2020-07-12,68
2020-07-19,53
2020-07-26,41
2020-08-02,66
2020-08-09,77
2020-08-16,62
2020-08-23,65
2020-08-30,60
2020-09-06,40
2020-09-13,62
2020-09-20,71
2020-09-27,78
2020-10-04,85
2020-10-11,71
2020-10-18,90
2020-10-25,67
2020-11-01,62
2020-11-08,60
2020-11-15,70
2020-11-22,66
2020-11-29,53
2020-12-06,62
2020-12-13,70
2020-12-20,40
2020-12-27,68
