Category: All categories

Week,Pet: (South Africa)
2018-01-07,70
2018-01-14,75
2018-01-21,69
2018-01-28,66
2018-02-04,65
2018-02-11,63
2018-02-18,78
2018-02-25,70
2018-03-04,64
2018-03-11,73
2018-03-18,70
2018-03-25,63
2018-04-01,70
2018-04-08,79
2018-04-15,63
2018-04-22,71
2018-04-29,74
2018-05-06,79
2018-05-13,79
2018-05-20,75
2018-05-27,82
2018-06-03,85
2018-06-10,64
2018-06-17,58
2018-06-24,74
2018-07-01,75
2018-07-08,73
2018-07-15,82
2018-07-22,67
2018-07-29,69
2018-08-05,81
2018-08-12,72
2018-08-19,71
2018-08-26,93
2018-09-02,70
2018-09-09,70
2018-09-16,67
2018-09-23,83
2018-09-30,64
2018-10-07,80
2018-10-14,68
2018-10-21,77
2018-10-28,80
2018-11-04,77
2018-11-11,94
2018-11-18,68
2018-11-25,72
2018-12-02,65
2018-12-09,73
2018-12-16,78
2018-12-23,99
2018-12-30,87
2019-01-06,89
2019-01-13,82
2019-01-20,72
2019-01-27,83
2019-02-03,66
2019-02-10,69
2019-02-17,66
2019-02-24,58
2019-03-03,65
2019-03-10,62
2019-03-17,66
2019-03-24,62
2019-03-31,72
2019-04-07,50
2019-04-14,71
2019-04-21,77
2019-04-28,81
2019-05-05,72
2019-05-12,58
2019-05-19,68
2019-05-26,83
2019-06-02,70
2019-06-09,70
2019-06-16,77
2019-06-23,85
2019-06-30,79
2019-07-07,80
2019-07-14,74
2019-07-21,80
2019-07-28,74
2019-08-04,79
2019-08-11,72
2019-08-18,67
2019-08-25,78
2019-09-01,66
2019-09-08,57
2019-09-15,75
2019-09-22,69
2019-09-29,72
2019-10-06,80
2019-10-13,68
2019-10-20,66
2019-10-27,63
2019-11-03,69
2019-11-10,69
2019-11-17,75
2019-11-24,71
2019-12-01,64
2019-12-08,57
2019-12-15,90
2019-12-22,94
2019-12-29,99
2020-01-05,80
2020-01-12,75
2020-01-19,75
2020-01-26,72
2020-02-02,75
2020-02-09,68
2020-02-16,60
2020-02-23,75
2020-03-01,63
2020-03-08,73
2020-03-15,82
2020-03-22,82
2020-03-29,62
2020-04-05,66
2020-04-12,73
2020-04-19,64
2020-04-26,92
2020-05-03,92
2020-05-10,95
2020-05-17,86
2020-05-24,98
2020-05-31,73
2020-06-07,84
2020-06-14,85
2020-06-21,89
2020-06-28,78
2020-07-05,81
2020-07-12,71
2020-07-19,81
2020-07-26,88
2020-08-02,87
2020-08-09,84
2020-08-16,80
2020-08-23,89
2020-08-30,77
2020-09-06,88
2020-09-13,88
2020-09-20,90
2020-09-27,78
2020-10-04,73
2020-10-11,81
2020-10-18,76
2020-10-25,92
2020-11-01,73
2020-11-08,89
2020-11-15,90
2020-11-22,78
2020-11-29,84
2020-12-06,82
2020-12-13,91
2020-12-20,100
2020-12-27,96
