Category: All categories

Week,Pet: (Philippines)
2018-01-07,52
2018-01-14,52
2018-01-21,41
2018-01-28,53
2018-02-04,54
2018-02-11,48
2018-02-18,53
2018-02-25,52
2018-03-04,52
2018-03-11,54
2018-03-18,46
2018-03-25,54
2018-04-01,46
2018-04-08,50
2018-04-15,42
2018-04-22,49
2018-04-29,56
2018-05-06,50
2018-05-13,50
2018-05-20,47
2018-05-27,45
2018-06-03,42
2018-06-10,53
2018-06-17,43
2018-06-24,37
2018-07-01,48
2018-07-08,53
2018-07-15,45
2018-07-22,56
2018-07-29,45
2018-08-05,50
2018-08-12,48
2018-08-19,53
2018-08-26,50
2018-09-02,48
2018-09-09,45
2018-09-16,47
2018-09-23,52
2018-09-30,53
2018-10-07,48
2018-10-14,56
2018-10-21,47
2018-10-28,71
2018-11-04,88
2018-11-11,84
2018-11-18,74
2018-11-25,80
2018-12-02,76
2018-12-09,71
2018-12-16,73
2018-12-23,90
2018-12-30,72
2019-01-06,63
2019-01-13,60
2019-01-20,59
2019-01-27,57
2019-02-03,61
2019-02-10,60
2019-02-17,55
2019-02-24,58
2019-03-03,60
2019-03-10,52
2019-03-17,56
2019-03-24,57
2019-03-31,61
2019-04-07,56
2019-04-14,72
2019-04-21,66
2019-04-28,55
2019-05-05,55
2019-05-12,50
2019-05-19,58
2019-05-26,57
2019-06-02,60
2019-06-09,56
2019-06-16,45
2019-06-23,53
2019-06-30,52
2019-07-07,53
2019-07-14,61
2019-07-21,54
2019-07-28,53
2019-08-04,59
2019-08-11,54
2019-08-18,60
2019-08-25,66
2019-09-01,55
2019-09-08,54
2019-09-15,48
2019-09-22,59
2019-09-29,57
2019-10-06,59
2019-10-13,61
2019-10-20,54
2019-10-27,63
2019-11-03,58
2019-11-10,48
2019-11-17,66
2019-11-24,54
2019-12-01,67
2019-12-08,64
2019-12-15,69
2019-12-22,67
2019-12-29,61
2020-01-05,71
2020-01-12,55
2020-01-19,56
2020-01-26,49
2020-02-02,51
2020-02-09,56
2020-02-16,64
2020-02-23,63
2020-03-01,60
2020-03-08,54
2020-03-15,66
2020-03-22,68
2020-03-29,60
2020-04-05,67
2020-04-12,71
2020-04-19,71
2020-04-26,74
2020-05-03,78
2020-05-10,64
2020-05-17,75
2020-05-24,72
2020-05-31,63
2020-06-07,67
2020-06-14,69
2020-06-21,59
2020-06-28,69
2020-07-05,71
2020-07-12,56
2020-07-19,72
2020-07-26,66
2020-08-02,66
2020-08-09,66
2020-08-16,67
2020-08-23,55
2020-08-30,62
2020-09-06,62
2020-09-13,62
2020-09-20,100
2020-09-27,78
2020-10-04,60
2020-10-11,65
2020-10-18,72
2020-10-25,64
2020-11-01,73
2020-11-08,67
2020-11-15,76
2020-11-22,73
2020-11-29,66
2020-12-06,69
2020-12-13,72
2020-12-20,67
2020-12-27,71
