Category: All categories

Week,Pet: (Austria)
2018-01-07,27
2018-01-14,24
2018-01-21,61
2018-01-28,52
2018-02-04,49
2018-02-11,54
2018-02-18,30
2018-02-25,57
2018-03-04,54
2018-03-11,33
2018-03-18,48
2018-03-25,36
2018-04-01,42
2018-04-08,29
2018-04-15,33
2018-04-22,36
2018-04-29,33
2018-05-06,30
2018-05-13,46
2018-05-20,44
2018-05-27,48
2018-06-03,42
2018-06-10,44
2018-06-17,49
2018-06-24,38
2018-07-01,28
2018-07-08,32
2018-07-15,14
2018-07-22,56
2018-07-29,59
2018-08-05,40
2018-08-12,41
2018-08-19,50
2018-08-26,25
2018-09-02,57
2018-09-09,25
2018-09-16,43
2018-09-23,36
2018-09-30,45
2018-10-07,60
2018-10-14,43
2018-10-21,36
2018-10-28,50
2018-11-04,38
2018-11-11,28
2018-11-18,51
2018-11-25,14
2018-12-02,38
2018-12-09,27
2018-12-16,43
2018-12-23,20
2018-12-30,42
2019-01-06,35
2019-01-13,39
2019-01-20,39
2019-01-27,100
2019-02-03,63
2019-02-10,82
2019-02-17,59
2019-02-24,84
2019-03-03,58
2019-03-10,79
2019-03-17,73
2019-03-24,69
2019-03-31,55
2019-04-07,60
2019-04-14,37
2019-04-21,17
2019-04-28,54
2019-05-05,42
2019-05-12,29
2019-05-19,46
2019-05-26,33
2019-06-02,31
2019-06-09,24
2019-06-16,30
2019-06-23,14
2019-06-30,35
2019-07-07,67
2019-07-14,47
2019-07-21,18
2019-07-28,45
2019-08-04,43
2019-08-11,32
2019-08-18,24
2019-08-25,30
2019-09-01,52
2019-09-08,43
2019-09-15,54
2019-09-22,52
2019-09-29,43
2019-10-06,73
2019-10-13,57
2019-10-20,28
2019-10-27,44
2019-11-03,28
2019-11-10,21
2019-11-17,37
2019-11-24,46
2019-12-01,34
2019-12-08,44
2019-12-15,41
2019-12-22,49
2019-12-29,39
2020-01-05,21
2020-01-12,42
2020-01-19,29
2020-01-26,40
2020-02-02,20
2020-02-09,43
2020-02-16,70
2020-02-23,33
2020-03-01,25
2020-03-08,38
2020-03-15,44
2020-03-22,52
2020-03-29,29
2020-04-05,56
2020-04-12,68
2020-04-19,41
2020-04-26,64
2020-05-03,59
2020-05-10,47
2020-05-17,54
2020-05-24,67
2020-05-31,28
2020-06-07,54
2020-06-14,52
2020-06-21,43
2020-06-28,43
2020-07-05,27
2020-07-12,18
2020-07-19,54
2020-07-26,34
2020-08-02,39
2020-08-09,36
2020-08-16,42
2020-08-23,42
2020-08-30,51
2020-09-06,59
2020-09-13,39
2020-09-20,70
2020-09-27,48
2020-10-04,48
2020-10-11,37
2020-10-18,38
2020-10-25,64
2020-11-01,52
2020-11-08,75
2020-11-15,57
2020-11-22,53
2020-11-29,38
2020-12-06,33
2020-12-13,31
2020-12-20,46
2020-12-27,51
