Category: All categories

Week,Pet: (Brazil)
2018-01-07,61
2018-01-14,60
2018-01-21,56
2018-01-28,59
2018-02-04,57
2018-02-11,58
2018-02-18,57
2018-02-25,54
2018-03-04,59
2018-03-11,60
2018-03-18,53
2018-03-25,56
2018-04-01,60
2018-04-08,56
2018-04-15,51
2018-04-22,53
2018-04-29,58
2018-05-06,54
2018-05-13,59
2018-05-20,57
2018-05-27,59
2018-06-03,60
2018-06-10,59
2018-06-17,62
2018-06-24,68
2018-07-01,64
2018-07-08,62
2018-07-15,62
2018-07-22,64
2018-07-29,61
2018-08-05,62
2018-08-12,66
2018-08-19,63
2018-08-26,57
2018-09-02,61
2018-09-09,60
2018-09-16,64
2018-09-23,61
2018-09-30,64
2018-10-07,55
2018-10-14,60
2018-10-21,58
2018-10-28,63
2018-11-04,60
2018-11-11,63
2018-11-18,61
2018-11-25,69
2018-12-02,67
2018-12-09,71
2018-12-16,78
2018-12-23,84
2018-12-30,72
2019-01-06,74
2019-01-13,68
2019-01-20,63
2019-01-27,78
2019-02-03,77
2019-02-10,75
2019-02-17,78
2019-02-24,80
2019-03-03,81
2019-03-10,80
2019-03-17,77
2019-03-24,79
2019-03-31,66
2019-04-07,63
2019-04-14,67
2019-04-21,62
2019-04-28,65
2019-05-05,66
2019-05-12,70
2019-05-19,69
2019-05-26,66
2019-06-02,68
2019-06-09,66
2019-06-16,71
2019-06-23,64
2019-06-30,73
2019-07-07,81
2019-07-14,75
2019-07-21,75
2019-07-28,74
2019-08-04,76
2019-08-11,77
2019-08-18,76
2019-08-25,74
2019-09-01,74
2019-09-08,74
2019-09-15,76
2019-09-22,69
2019-09-29,78
2019-10-06,72
2019-10-13,67
2019-10-20,70
2019-10-27,66
2019-11-03,71
2019-11-10,68
2019-11-17,65
2019-11-24,66
2019-12-01,66
2019-12-08,70
2019-12-15,70
2019-12-22,91
2019-12-29,77
2020-01-05,80
2020-01-12,76
2020-01-19,75
2020-01-26,71
2020-02-02,70
2020-02-09,69
2020-02-16,68
2020-02-23,76
2020-03-01,68
2020-03-08,68
2020-03-15,69
2020-03-22,73
2020-03-29,72
2020-04-05,69
2020-04-12,75
2020-04-19,75
2020-04-26,78
2020-05-03,85
2020-05-10,88
2020-05-17,92
2020-05-24,89
2020-05-31,88
2020-06-07,90
2020-06-14,92
2020-06-21,86
2020-06-28,93
2020-07-05,89
2020-07-12,88
2020-07-19,90
2020-07-26,82
2020-08-02,84
2020-08-09,91
2020-08-16,86
2020-08-23,97
2020-08-30,91
2020-09-06,93
2020-09-13,95
2020-09-20,95
2020-09-27,89
2020-10-04,92
2020-10-11,87
2020-10-18,82
2020-10-25,88
2020-11-01,86
2020-11-08,90
2020-11-15,83
2020-11-22,87
2020-11-29,86
2020-12-06,90
2020-12-13,90
2020-12-20,100
2020-12-27,93
