Category: All categories

Week,Pet: (Pakistan)
2018-01-07,57
2018-01-14,66
2018-01-21,47
2018-01-28,42
2018-02-04,58
2018-02-11,75
2018-02-18,59
2018-02-25,82
2018-03-04,43
2018-03-11,75
2018-03-18,43
2018-03-25,46
2018-04-01,49
2018-04-08,42
2018-04-15,56
2018-04-22,61
2018-04-29,61
2018-05-06,40
2018-05-13,38
2018-05-20,60
2018-05-27,44
2018-06-03,45
2018-06-10,38
2018-06-17,57
2018-06-24,53
2018-07-01,42
2018-07-08,40
2018-07-15,39
2018-07-22,63
2018-07-29,48
2018-08-05,68
2018-08-12,48
2018-08-19,58
2018-08-26,47
2018-09-02,40
2018-09-09,49
2018-09-16,40
2018-09-23,38
2018-09-30,42
2018-10-07,59
2018-10-14,47
2018-10-21,50
2018-10-28,37
2018-11-04,49
2018-11-11,53
2018-11-18,46
2018-11-25,60
2018-12-02,63
2018-12-09,68
2018-12-16,53
2018-12-23,47
2018-12-30,52
2019-01-06,54
2019-01-13,52
2019-01-20,60
2019-01-27,53
2019-02-03,49
2019-02-10,48
2019-02-17,63
2019-02-24,50
2019-03-03,35
2019-03-10,57
2019-03-17,56
2019-03-24,38
2019-03-31,70
2019-04-07,53
2019-04-14,45
2019-04-21,58
2019-04-28,43
2019-05-05,59
2019-05-12,59
2019-05-19,80
2019-05-26,59
2019-06-02,63
2019-06-09,54
2019-06-16,65
2019-06-23,40
2019-06-30,64
2019-07-07,47
2019-07-14,72
2019-07-21,61
2019-07-28,70
2019-08-04,67
2019-08-11,45
2019-08-18,68
2019-08-25,61
2019-09-01,53
2019-09-08,68
2019-09-15,83
2019-09-22,67
2019-09-29,85
2019-10-06,62
2019-10-13,82
2019-10-20,83
2019-10-27,66
2019-11-03,86
2019-11-10,75
2019-11-17,84
2019-11-24,72
2019-12-01,68
2019-12-08,42
2019-12-15,65
2019-12-22,56
2019-12-29,56
2020-01-05,52
2020-01-12,64
2020-01-19,62
2020-01-26,66
2020-02-02,56
2020-02-09,74
2020-02-16,68
2020-02-23,83
2020-03-01,45
2020-03-08,70
2020-03-15,80
2020-03-22,65
2020-03-29,66
2020-04-05,88
2020-04-12,86
2020-04-19,81
2020-04-26,73
2020-05-03,73
2020-05-10,80
2020-05-17,69
2020-05-24,48
2020-05-31,60
2020-06-07,63
2020-06-14,77
2020-06-21,65
2020-06-28,74
2020-07-05,68
2020-07-12,77
2020-07-19,61
2020-07-26,70
2020-08-02,71
2020-08-09,48
2020-08-16,62
2020-08-23,76
2020-08-30,66
2020-09-06,84
2020-09-13,47
2020-09-20,81
2020-09-27,51
2020-10-04,70
2020-10-11,88
2020-10-18,64
2020-10-25,60
2020-11-01,78
2020-11-08,77
2020-11-15,49
2020-11-22,71
2020-11-29,62
2020-12-06,77
2020-12-13,100
2020-12-20,66
2020-12-27,64
