Category: All categories

Week,Pet: (Japan)
2018-01-07,76
2018-01-14,77
2018-01-21,72
2018-01-28,72
2018-02-04,75
2018-02-11,74
2018-02-18,74
2018-02-25,71
2018-03-04,72
2018-03-11,76
2018-03-18,73
2018-03-25,76
2018-04-01,77
2018-04-08,78
2018-04-15,79
2018-04-22,83
2018-04-29,95
2018-05-06,81
2018-05-13,74
2018-05-20,77
2018-05-27,80
2018-06-03,79
2018-06-10,78
2018-06-17,77
2018-06-24,82
2018-07-01,75
2018-07-08,81
2018-07-15,89
2018-07-22,74
2018-07-29,79
2018-08-05,81
2018-08-12,89
2018-08-19,84
2018-08-26,84
2018-09-02,79
2018-09-09,82
2018-09-16,84
2018-09-23,79
2018-09-30,76
2018-10-07,86
2018-10-14,81
2018-10-21,86
2018-10-28,80
2018-11-04,83
2018-11-11,78
2018-11-18,79
2018-11-25,77
2018-12-02,75
2018-12-09,80
2018-12-16,71
2018-12-23,70
2018-12-30,81
2019-01-06,80
2019-01-13,86
2019-01-20,76
2019-01-27,14
2019-02-03,3
2019-02-10,3
2019-02-17,3
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,69
2019-04-07,81
2019-04-14,87
2019-04-21,83
2019-04-28,100
2019-05-05,89
2019-05-12,85
2019-05-19,81
2019-05-26,86
2019-06-02,83
2019-06-09,80
2019-06-16,86
2019-06-23,86
2019-06-30,86
2019-07-07,83
2019-07-14,87
2019-07-21,96
2019-07-28,99
2019-08-04,91
2019-08-11,92
2019-08-18,84
2019-08-25,89
2019-09-01,85
2019-09-08,84
2019-09-15,86
2019-09-22,83
2019-09-29,81
2019-10-06,83
2019-10-13,89
2019-10-20,86
2019-10-27,83
2019-11-03,88
2019-11-10,81
2019-11-17,81
2019-11-24,84
2019-12-01,81
2019-12-08,81
2019-12-15,77
2019-12-22,76
2019-12-29,86
2020-01-05,86
2020-01-12,84
2020-01-19,81
2020-01-26,80
2020-02-02,77
2020-02-09,84
2020-02-16,80
2020-02-23,81
2020-03-01,80
2020-03-08,75
2020-03-15,85
2020-03-22,74
2020-03-29,65
2020-04-05,75
2020-04-12,76
2020-04-19,73
2020-04-26,78
2020-05-03,86
2020-05-10,84
2020-05-17,89
2020-05-24,85
2020-05-31,90
2020-06-07,90
2020-06-14,94
2020-06-21,91
2020-06-28,92
2020-07-05,89
2020-07-12,91
2020-07-19,90
2020-07-26,91
2020-08-02,85
2020-08-09,95
2020-08-16,90
2020-08-23,91
2020-08-30,91
2020-09-06,93
2020-09-13,96
2020-09-20,97
2020-09-27,90
2020-10-04,92
2020-10-11,93
2020-10-18,91
2020-10-25,89
2020-11-01,92
2020-11-08,89
2020-11-15,83
2020-11-22,87
2020-11-29,84
2020-12-06,88
2020-12-13,83
2020-12-20,80
2020-12-27,81
