Category: All categories

Week,Pet: (Spain)
2018-01-07,60
2018-01-14,66
2018-01-21,60
2018-01-28,62
2018-02-04,52
2018-02-11,58
2018-02-18,63
2018-02-25,64
2018-03-04,59
2018-03-11,58
2018-03-18,66
2018-03-25,61
2018-04-01,65
2018-04-08,60
2018-04-15,60
2018-04-22,63
2018-04-29,60
2018-05-06,64
2018-05-13,54
2018-05-20,47
2018-05-27,58
2018-06-03,56
2018-06-10,59
2018-06-17,63
2018-06-24,65
2018-07-01,58
2018-07-08,67
2018-07-15,71
2018-07-22,62
2018-07-29,73
2018-08-05,77
2018-08-12,68
2018-08-19,78
2018-08-26,70
2018-09-02,65
2018-09-09,57
2018-09-16,58
2018-09-23,61
2018-09-30,60
2018-10-07,66
2018-10-14,61
2018-10-21,66
2018-10-28,52
2018-11-04,61
2018-11-11,61
2018-11-18,59
2018-11-25,65
2018-12-02,67
2018-12-09,62
2018-12-16,63
2018-12-23,74
2018-12-30,72
2019-01-06,61
2019-01-13,59
2019-01-20,70
2019-01-27,65
2019-02-03,64
2019-02-10,74
2019-02-17,71
2019-02-24,79
2019-03-03,70
2019-03-10,71
2019-03-17,65
2019-03-24,76
2019-03-31,73
2019-04-07,68
2019-04-14,63
2019-04-21,66
2019-04-28,65
2019-05-05,59
2019-05-12,60
2019-05-19,65
2019-05-26,61
2019-06-02,68
2019-06-09,67
2019-06-16,67
2019-06-23,67
2019-06-30,70
2019-07-07,72
2019-07-14,75
2019-07-21,78
2019-07-28,95
2019-08-04,86
2019-08-11,100
2019-08-18,89
2019-08-25,75
2019-09-01,70
2019-09-08,62
2019-09-15,65
2019-09-22,57
2019-09-29,59
2019-10-06,69
2019-10-13,61
2019-10-20,62
2019-10-27,71
2019-11-03,59
2019-11-10,69
2019-11-17,67
2019-11-24,70
2019-12-01,80
2019-12-08,73
2019-12-15,62
2019-12-22,64
2019-12-29,69
2020-01-05,65
2020-01-12,68
2020-01-19,64
2020-01-26,59
2020-02-02,67
2020-02-09,67
2020-02-16,66
2020-02-23,61
2020-03-01,70
2020-03-08,61
2020-03-15,59
2020-03-22,66
2020-03-29,55
2020-04-05,74
2020-04-12,69
2020-04-19,71
2020-04-26,73
2020-05-03,68
2020-05-10,67
2020-05-17,68
2020-05-24,63
2020-05-31,67
2020-06-07,75
2020-06-14,71
2020-06-21,78
2020-06-28,82
2020-07-05,86
2020-07-12,72
2020-07-19,81
2020-07-26,81
2020-08-02,78
2020-08-09,70
2020-08-16,87
2020-08-23,78
2020-08-30,71
2020-09-06,71
2020-09-13,70
2020-09-20,66
2020-09-27,67
2020-10-04,72
2020-10-11,63
2020-10-18,66
2020-10-25,59
2020-11-01,54
2020-11-08,66
2020-11-15,72
2020-11-22,77
2020-11-29,72
2020-12-06,70
2020-12-13,69
2020-12-20,69
2020-12-27,72
