Category: All categories

Week,Pet: (Denmark)
2018-01-07,88
2018-01-14,45
2018-01-21,55
2018-01-28,48
2018-02-04,65
2018-02-11,34
2018-02-18,62
2018-02-25,66
2018-03-04,84
2018-03-11,66
2018-03-18,63
2018-03-25,49
2018-04-01,32
2018-04-08,50
2018-04-15,39
2018-04-22,52
2018-04-29,51
2018-05-06,40
2018-05-13,62
2018-05-20,55
2018-05-27,45
2018-06-03,59
2018-06-10,42
2018-06-17,39
2018-06-24,37
2018-07-01,42
2018-07-08,59
2018-07-15,53
2018-07-22,55
2018-07-29,69
2018-08-05,75
2018-08-12,73
2018-08-19,93
2018-08-26,64
2018-09-02,58
2018-09-09,46
2018-09-16,46
2018-09-23,81
2018-09-30,52
2018-10-07,59
2018-10-14,43
2018-10-21,78
2018-10-28,57
2018-11-04,52
2018-11-11,50
2018-11-18,91
2018-11-25,64
2018-12-02,29
2018-12-09,44
2018-12-16,56
2018-12-23,62
2018-12-30,45
2019-01-06,64
2019-01-13,76
2019-01-20,62
2019-01-27,75
2019-02-03,85
2019-02-10,66
2019-02-17,97
2019-02-24,68
2019-03-03,61
2019-03-10,55
2019-03-17,98
2019-03-24,77
2019-03-31,60
2019-04-07,61
2019-04-14,34
2019-04-21,45
2019-04-28,62
2019-05-05,52
2019-05-12,51
2019-05-19,50
2019-05-26,52
2019-06-02,56
2019-06-09,53
2019-06-16,53
2019-06-23,35
2019-06-30,73
2019-07-07,62
2019-07-14,52
2019-07-21,74
2019-07-28,51
2019-08-04,69
2019-08-11,40
2019-08-18,70
2019-08-25,50
2019-09-01,79
2019-09-08,65
2019-09-15,60
2019-09-22,77
2019-09-29,81
2019-10-06,60
2019-10-13,42
2019-10-20,61
2019-10-27,59
2019-11-03,61
2019-11-10,53
2019-11-17,50
2019-11-24,37
2019-12-01,75
2019-12-08,63
2019-12-15,65
2019-12-22,60
2019-12-29,67
2020-01-05,66
2020-01-12,63
2020-01-19,68
2020-01-26,86
2020-02-02,65
2020-02-09,63
2020-02-16,54
2020-02-23,58
2020-03-01,58
2020-03-08,61
2020-03-15,91
2020-03-22,68
2020-03-29,51
2020-04-05,87
2020-04-12,73
2020-04-19,100
2020-04-26,93
2020-05-03,88
2020-05-10,69
2020-05-17,79
2020-05-24,61
2020-05-31,66
2020-06-07,73
2020-06-14,52
2020-06-21,39
2020-06-28,66
2020-07-05,71
2020-07-12,79
2020-07-19,61
2020-07-26,68
2020-08-02,71
2020-08-09,66
2020-08-16,49
2020-08-23,46
2020-08-30,56
2020-09-06,49
2020-09-13,76
2020-09-20,78
2020-09-27,65
2020-10-04,72
2020-10-11,87
2020-10-18,82
2020-10-25,35
2020-11-01,73
2020-11-08,83
2020-11-15,86
2020-11-22,96
2020-11-29,73
2020-12-06,60
2020-12-13,69
2020-12-20,73
2020-12-27,72
