Category: All categories

Week,Pet: (Mexico)
2018-01-07,56
2018-01-14,63
2018-01-21,62
2018-01-28,62
2018-02-04,57
2018-02-11,54
2018-02-18,63
2018-02-25,55
2018-03-04,60
2018-03-11,55
2018-03-18,55
2018-03-25,67
2018-04-01,56
2018-04-08,54
2018-04-15,59
2018-04-22,54
2018-04-29,57
2018-05-06,52
2018-05-13,62
2018-05-20,61
2018-05-27,70
2018-06-03,58
2018-06-10,61
2018-06-17,54
2018-06-24,49
2018-07-01,61
2018-07-08,69
2018-07-15,76
2018-07-22,71
2018-07-29,61
2018-08-05,65
2018-08-12,68
2018-08-19,64
2018-08-26,53
2018-09-02,54
2018-09-09,61
2018-09-16,67
2018-09-23,56
2018-09-30,59
2018-10-07,64
2018-10-14,55
2018-10-21,53
2018-10-28,66
2018-11-04,66
2018-11-11,81
2018-11-18,66
2018-11-25,68
2018-12-02,68
2018-12-09,65
2018-12-16,67
2018-12-23,74
2018-12-30,73
2019-01-06,70
2019-01-13,71
2019-01-20,74
2019-01-27,71
2019-02-03,84
2019-02-10,70
2019-02-17,72
2019-02-24,67
2019-03-03,74
2019-03-10,75
2019-03-17,79
2019-03-24,75
2019-03-31,68
2019-04-07,76
2019-04-14,75
2019-04-21,71
2019-04-28,68
2019-05-05,59
2019-05-12,67
2019-05-19,73
2019-05-26,66
2019-06-02,59
2019-06-09,71
2019-06-16,65
2019-06-23,71
2019-06-30,71
2019-07-07,70
2019-07-14,81
2019-07-21,80
2019-07-28,70
2019-08-04,82
2019-08-11,87
2019-08-18,80
2019-08-25,75
2019-09-01,63
2019-09-08,70
2019-09-15,67
2019-09-22,66
2019-09-29,66
2019-10-06,70
2019-10-13,66
2019-10-20,69
2019-10-27,68
2019-11-03,71
2019-11-10,69
2019-11-17,82
2019-11-24,77
2019-12-01,71
2019-12-08,71
2019-12-15,73
2019-12-22,87
2019-12-29,82
2020-01-05,76
2020-01-12,82
2020-01-19,72
2020-01-26,70
2020-02-02,74
2020-02-09,58
2020-02-16,65
2020-02-23,72
2020-03-01,62
2020-03-08,60
2020-03-15,73
2020-03-22,56
2020-03-29,70
2020-04-05,70
2020-04-12,71
2020-04-19,73
2020-04-26,69
2020-05-03,65
2020-05-10,67
2020-05-17,69
2020-05-24,76
2020-05-31,99
2020-06-07,89
2020-06-14,71
2020-06-21,72
2020-06-28,75
2020-07-05,76
2020-07-12,78
2020-07-19,84
2020-07-26,77
2020-08-02,79
2020-08-09,78
2020-08-16,88
2020-08-23,67
2020-08-30,71
2020-09-06,79
2020-09-13,78
2020-09-20,79
2020-09-27,68
2020-10-04,78
2020-10-11,77
2020-10-18,89
2020-10-25,97
2020-11-01,88
2020-11-08,94
2020-11-15,98
2020-11-22,92
2020-11-29,100
2020-12-06,81
2020-12-13,80
2020-12-20,91
2020-12-27,92
