Category: All categories

Week,Pet: (Italy)
2018-01-07,21
2018-01-14,23
2018-01-21,21
2018-01-28,16
2018-02-04,18
2018-02-11,20
2018-02-18,19
2018-02-25,22
2018-03-04,15
2018-03-11,16
2018-03-18,23
2018-03-25,20
2018-04-01,21
2018-04-08,26
2018-04-15,22
2018-04-22,19
2018-04-29,25
2018-05-06,20
2018-05-13,29
2018-05-20,20
2018-05-27,19
2018-06-03,26
2018-06-10,20
2018-06-17,18
2018-06-24,22
2018-07-01,20
2018-07-08,15
2018-07-15,22
2018-07-22,24
2018-07-29,23
2018-08-05,26
2018-08-12,21
2018-08-19,27
2018-08-26,25
2018-09-02,26
2018-09-09,27
2018-09-16,19
2018-09-23,15
2018-09-30,26
2018-10-07,24
2018-10-14,28
2018-10-21,17
2018-10-28,16
2018-11-04,19
2018-11-11,30
2018-11-18,33
2018-11-25,21
2018-12-02,15
2018-12-09,29
2018-12-16,18
2018-12-23,21
2018-12-30,28
2019-01-06,21
2019-01-13,27
2019-01-20,19
2019-01-27,83
2019-02-03,97
2019-02-10,87
2019-02-17,98
2019-02-24,91
2019-03-03,96
2019-03-10,90
2019-03-17,86
2019-03-24,100
2019-03-31,31
2019-04-07,24
2019-04-14,30
2019-04-21,24
2019-04-28,20
2019-05-05,30
2019-05-12,22
2019-05-19,23
2019-05-26,21
2019-06-02,27
2019-06-09,21
2019-06-16,27
2019-06-23,23
2019-06-30,32
2019-07-07,29
2019-07-14,36
2019-07-21,24
2019-07-28,33
2019-08-04,21
2019-08-11,33
2019-08-18,25
2019-08-25,29
2019-09-01,28
2019-09-08,25
2019-09-15,27
2019-09-22,31
2019-09-29,25
2019-10-06,21
2019-10-13,23
2019-10-20,21
2019-10-27,22
2019-11-03,21
2019-11-10,22
2019-11-17,26
2019-11-24,26
2019-12-01,31
2019-12-08,25
2019-12-15,26
2019-12-22,19
2019-12-29,29
2020-01-05,24
2020-01-12,20
2020-01-19,24
2020-01-26,20
2020-02-02,20
2020-02-09,22
2020-02-16,26
2020-02-23,23
2020-03-01,33
2020-03-08,30
2020-03-15,32
2020-03-22,32
2020-03-29,34
2020-04-05,30
2020-04-12,30
2020-04-19,29
2020-04-26,24
2020-05-03,26
2020-05-10,29
2020-05-17,24
2020-05-24,26
2020-05-31,31
2020-06-07,33
2020-06-14,29
2020-06-21,28
2020-06-28,35
2020-07-05,31
2020-07-12,30
2020-07-19,32
2020-07-26,34
2020-08-02,26
2020-08-09,28
2020-08-16,33
2020-08-23,31
2020-08-30,25
2020-09-06,27
2020-09-13,23
2020-09-20,22
2020-09-27,28
2020-10-04,30
2020-10-11,25
2020-10-18,30
2020-10-25,26
2020-11-01,24
2020-11-08,32
2020-11-15,24
2020-11-22,26
2020-11-29,28
2020-12-06,27
2020-12-13,31
2020-12-20,33
2020-12-27,43
