Category: All categories

Week,Pet: (Finland)
2018-01-07,60
2018-01-14,61
2018-01-21,46
2018-01-28,55
2018-02-04,46
2018-02-11,62
2018-02-18,52
2018-02-25,81
2018-03-04,68
2018-03-11,51
2018-03-18,53
2018-03-25,80
2018-04-01,53
2018-04-08,44
2018-04-15,50
2018-04-22,38
2018-04-29,58
2018-05-06,53
2018-05-13,68
2018-05-20,61
2018-05-27,32
2018-06-03,55
2018-06-10,56
2018-06-17,63
2018-06-24,61
2018-07-01,42
2018-07-08,49
2018-07-15,66
2018-07-22,66
2018-07-29,80
2018-08-05,54
2018-08-12,62
2018-08-19,69
2018-08-26,55
2018-09-02,64
2018-09-09,46
2018-09-16,49
2018-09-23,66
2018-09-30,92
2018-10-07,57
2018-10-14,72
2018-10-21,49
2018-10-28,32
2018-11-04,56
2018-11-11,73
2018-11-18,52
2018-11-25,55
2018-12-02,83
2018-12-09,73
2018-12-16,55
2018-12-23,70
2018-12-30,64
2019-01-06,46
2019-01-13,71
2019-01-20,52
2019-01-27,65
2019-02-03,88
2019-02-10,63
2019-02-17,100
2019-02-24,82
2019-03-03,56
2019-03-10,53
2019-03-17,64
2019-03-24,44
2019-03-31,56
2019-04-07,39
2019-04-14,55
2019-04-21,46
2019-04-28,66
2019-05-05,76
2019-05-12,46
2019-05-19,78
2019-05-26,44
2019-06-02,59
2019-06-09,50
2019-06-16,33
2019-06-23,55
2019-06-30,81
2019-07-07,78
2019-07-14,60
2019-07-21,57
2019-07-28,78
2019-08-04,55
2019-08-11,49
2019-08-18,69
2019-08-25,69
2019-09-01,55
2019-09-08,51
2019-09-15,69
2019-09-22,55
2019-09-29,43
2019-10-06,44
2019-10-13,55
2019-10-20,64
2019-10-27,58
2019-11-03,66
2019-11-10,69
2019-11-17,66
2019-11-24,59
2019-12-01,68
2019-12-08,67
2019-12-15,86
2019-12-22,70
2019-12-29,51
2020-01-05,55
2020-01-12,62
2020-01-19,62
2020-01-26,89
2020-02-02,63
2020-02-09,55
2020-02-16,64
2020-02-23,64
2020-03-01,47
2020-03-08,43
2020-03-15,73
2020-03-22,56
2020-03-29,67
2020-04-05,90
2020-04-12,68
2020-04-19,75
2020-04-26,62
2020-05-03,52
2020-05-10,79
2020-05-17,74
2020-05-24,75
2020-05-31,64
2020-06-07,75
2020-06-14,88
2020-06-21,33
2020-06-28,64
2020-07-05,60
2020-07-12,65
2020-07-19,67
2020-07-26,64
2020-08-02,70
2020-08-09,68
2020-08-16,49
2020-08-23,66
2020-08-30,45
2020-09-06,45
2020-09-13,33
2020-09-20,61
2020-09-27,39
2020-10-04,74
2020-10-11,67
2020-10-18,65
2020-10-25,64
2020-11-01,59
2020-11-08,52
2020-11-15,63
2020-11-22,81
2020-11-29,74
2020-12-06,73
2020-12-13,91
2020-12-20,82
2020-12-27,61
