Category: All categories

Week,Pet: (Thailand)
2018-01-07,69
2018-01-14,67
2018-01-21,77
2018-01-28,66
2018-02-04,69
2018-02-11,66
2018-02-18,62
2018-02-25,56
2018-03-04,71
2018-03-11,62
2018-03-18,63
2018-03-25,69
2018-04-01,72
2018-04-08,55
2018-04-15,68
2018-04-22,62
2018-04-29,73
2018-05-06,59
2018-05-13,70
2018-05-20,71
2018-05-27,73
2018-06-03,70
2018-06-10,63
2018-06-17,61
2018-06-24,54
2018-07-01,59
2018-07-08,60
2018-07-15,60
2018-07-22,62
2018-07-29,62
2018-08-05,65
2018-08-12,60
2018-08-19,62
2018-08-26,67
2018-09-02,73
2018-09-09,66
2018-09-16,69
2018-09-23,77
2018-09-30,74
2018-10-07,84
2018-10-14,77
2018-10-21,63
2018-10-28,76
2018-11-04,91
2018-11-11,84
2018-11-18,89
2018-11-25,78
2018-12-02,80
2018-12-09,74
2018-12-16,71
2018-12-23,73
2018-12-30,73
2019-01-06,81
2019-01-13,72
2019-01-20,74
2019-01-27,28
2019-02-03,23
2019-02-10,21
2019-02-17,22
2019-02-24,21
2019-03-03,25
2019-03-10,22
2019-03-17,26
2019-03-24,26
2019-03-31,60
2019-04-07,66
2019-04-14,68
2019-04-21,69
2019-04-28,61
2019-05-05,59
2019-05-12,63
2019-05-19,71
2019-05-26,63
2019-06-02,73
2019-06-09,66
2019-06-16,75
2019-06-23,76
2019-06-30,66
2019-07-07,77
2019-07-14,78
2019-07-21,76
2019-07-28,69
2019-08-04,69
2019-08-11,69
2019-08-18,75
2019-08-25,84
2019-09-01,80
2019-09-08,72
2019-09-15,66
2019-09-22,69
2019-09-29,53
2019-10-06,74
2019-10-13,70
2019-10-20,65
2019-10-27,73
2019-11-03,68
2019-11-10,65
2019-11-17,61
2019-11-24,67
2019-12-01,61
2019-12-08,68
2019-12-15,66
2019-12-22,72
2019-12-29,67
2020-01-05,64
2020-01-12,72
2020-01-19,72
2020-01-26,65
2020-02-02,72
2020-02-09,74
2020-02-16,77
2020-02-23,66
2020-03-01,70
2020-03-08,77
2020-03-15,63
2020-03-22,61
2020-03-29,81
2020-04-05,68
2020-04-12,77
2020-04-19,82
2020-04-26,78
2020-05-03,92
2020-05-10,83
2020-05-17,94
2020-05-24,100
2020-05-31,91
2020-06-07,87
2020-06-14,86
2020-06-21,81
2020-06-28,72
2020-07-05,77
2020-07-12,72
2020-07-19,72
2020-07-26,71
2020-08-02,73
2020-08-09,65
2020-08-16,65
2020-08-23,74
2020-08-30,77
2020-09-06,82
2020-09-13,77
2020-09-20,72
2020-09-27,72
2020-10-04,73
2020-10-11,71
2020-10-18,74
2020-10-25,67
2020-11-01,69
2020-11-08,63
2020-11-15,62
2020-11-22,69
2020-11-29,60
2020-12-06,65
2020-12-13,65
2020-12-20,69
2020-12-27,71
