Category: All categories

Week,Pet: (Bangladesh)
2018-01-07,77
2018-01-14,100
2018-01-21,93
2018-01-28,87
2018-02-04,96
2018-02-11,86
2018-02-18,61
2018-02-25,92
2018-03-04,78
2018-03-11,64
2018-03-18,96
2018-03-25,93
2018-04-01,41
2018-04-08,78
2018-04-15,74
2018-04-22,51
2018-04-29,42
2018-05-06,49
2018-05-13,78
2018-05-20,85
2018-05-27,77
2018-06-03,65
2018-06-10,59
2018-06-17,36
2018-06-24,52
2018-07-01,47
2018-07-08,48
2018-07-15,28
2018-07-22,60
2018-07-29,59
2018-08-05,43
2018-08-12,47
2018-08-19,31
2018-08-26,36
2018-09-02,75
2018-09-09,64
2018-09-16,32
2018-09-23,62
2018-09-30,66
2018-10-07,57
2018-10-14,54
2018-10-21,56
2018-10-28,63
2018-11-04,68
2018-11-11,64
2018-11-18,56
2018-11-25,69
2018-12-02,25
2018-12-09,51
2018-12-16,59
2018-12-23,52
2018-12-30,32
2019-01-06,33
2019-01-13,51
2019-01-20,43
2019-01-27,64
2019-02-03,41
2019-02-10,40
2019-02-17,63
2019-02-24,47
2019-03-03,33
2019-03-10,61
2019-03-17,60
2019-03-24,73
2019-03-31,36
2019-04-07,25
2019-04-14,85
2019-04-21,60
2019-04-28,49
2019-05-05,51
2019-05-12,59
2019-05-19,67
2019-05-26,58
2019-06-02,52
2019-06-09,46
2019-06-16,45
2019-06-23,51
2019-06-30,59
2019-07-07,58
2019-07-14,49
2019-07-21,36
2019-07-28,49
2019-08-04,58
2019-08-11,60
2019-08-18,58
2019-08-25,38
2019-09-01,35
2019-09-08,42
2019-09-15,64
2019-09-22,41
2019-09-29,39
2019-10-06,46
2019-10-13,77
2019-10-20,67
2019-10-27,80
2019-11-03,55
2019-11-10,58
2019-11-17,46
2019-11-24,60
2019-12-01,63
2019-12-08,51
2019-12-15,72
2019-12-22,40
2019-12-29,49
2020-01-05,60
2020-01-12,66
2020-01-19,77
2020-01-26,65
2020-02-02,69
2020-02-09,52
2020-02-16,44
2020-02-23,48
2020-03-01,55
2020-03-08,54
2020-03-15,42
2020-03-22,71
2020-03-29,50
2020-04-05,65
2020-04-12,51
2020-04-19,70
2020-04-26,45
2020-05-03,71
2020-05-10,57
2020-05-17,55
2020-05-24,57
2020-05-31,47
2020-06-07,42
2020-06-14,92
2020-06-21,84
2020-06-28,67
2020-07-05,37
2020-07-12,82
2020-07-19,44
2020-07-26,66
2020-08-02,81
2020-08-09,60
2020-08-16,74
2020-08-23,88
2020-08-30,54
2020-09-06,63
2020-09-13,65
2020-09-20,78
2020-09-27,63
2020-10-04,73
2020-10-11,58
2020-10-18,69
2020-10-25,72
2020-11-01,42
2020-11-08,84
2020-11-15,67
2020-11-22,50
2020-11-29,43
2020-12-06,44
2020-12-13,88
2020-12-20,44
2020-12-27,50
