date,Arts_CZ
2020-03-15,53
2020-03-22,75
2020-03-29,65
2020-04-05,59
2020-04-12,51
2020-04-19,58
2020-04-26,65
2020-05-03,67
2020-05-10,62
2020-05-17,65
2020-05-24,63
2020-05-31,65
2020-06-07,60
2020-06-14,57
2020-06-21,56
2020-06-28,49
2020-07-05,57
2020-07-12,45
2020-07-19,45
2020-07-26,40
2020-08-02,60
2020-08-09,41
2020-08-16,61
2020-08-23,51
2020-08-30,68
2020-09-06,65
2020-09-13,56
2020-09-20,62
2020-09-27,61
2020-10-04,74
2020-10-11,64
2020-10-18,54
2020-10-25,55
2020-11-01,59
2020-11-08,80
2020-11-15,72
2020-11-22,57
2020-11-29,55
2020-12-06,61
2020-12-13,55
2020-12-20,56
2020-12-27,58
2021-01-03,80
2021-01-10,74
2021-01-17,72
2021-01-24,56
2021-01-31,68
2021-02-07,59
2021-02-14,61
2021-02-21,58
2021-02-28,66
2021-03-07,63
2021-03-14,67
2021-03-21,53
2021-03-28,62
2021-04-04,67
2021-04-11,67
2021-04-18,51
2021-04-25,94
2021-05-02,100
2021-05-09,79
2021-05-16,89
2021-05-23,73
2021-05-30,62
2021-06-06,57
2021-06-13,61
2021-06-20,49
2021-06-27,43
2021-07-04,48
2021-07-11,51
2021-07-18,62
2021-07-25,76
2021-08-01,41
2021-08-08,55
2021-08-15,44
2021-08-22,61
2021-08-29,70
