date,Game_AT
2018-01-07,59
2018-01-14,55
2018-01-21,64
2018-01-28,59
2018-02-04,71
2018-02-11,69
2018-02-18,68
2018-02-25,65
2018-03-04,57
2018-03-11,61
2018-03-18,56
2018-03-25,64
2018-04-01,62
2018-04-08,53
2018-04-15,56
2018-04-22,56
2018-04-29,53
2018-05-06,52
2018-05-13,53
2018-05-20,54
2018-05-27,60
2018-06-03,55
2018-06-10,70
2018-06-17,100
2018-06-24,92
2018-07-01,86
2018-07-08,68
2018-07-15,62
2018-07-22,52
2018-07-29,48
2018-08-05,52
2018-08-12,55
2018-08-19,54
2018-08-26,63
2018-09-02,60
2018-09-09,54
2018-09-16,56
2018-09-23,57
2018-09-30,56
2018-10-07,59
2018-10-14,52
2018-10-21,61
2018-10-28,61
2018-11-04,59
2018-11-11,69
2018-11-18,76
2018-11-25,69
2018-12-02,62
2018-12-09,68
2018-12-16,68
2018-12-23,79
2018-12-30,67
2019-01-06,55
2019-01-13,53
2019-01-20,56
2019-01-27,53
2019-02-03,56
2019-02-10,55
2019-02-17,54
2019-02-24,54
2019-03-03,55
2019-03-10,57
2019-03-17,55
2019-03-24,54
2019-03-31,55
2019-04-07,61
2019-04-14,51
2019-04-21,52
2019-04-28,54
2019-05-05,54
2019-05-12,55
2019-05-19,51
2019-05-26,56
2019-06-02,55
2019-06-09,54
2019-06-16,51
2019-06-23,50
2019-06-30,45
2019-07-07,53
2019-07-14,48
2019-07-21,48
2019-07-28,53
2019-08-04,50
2019-08-11,52
2019-08-18,51
2019-08-25,61
2019-09-01,53
2019-09-08,55
2019-09-15,50
2019-09-22,54
2019-09-29,57
2019-10-06,59
2019-10-13,62
2019-10-20,61
2019-10-27,62
2019-11-03,63
2019-11-10,64
2019-11-17,60
2019-11-24,62
2019-12-01,64
2019-12-08,71
2019-12-15,73
2019-12-22,80
2019-12-29,67
2020-01-05,55
2020-01-12,60
2020-01-19,58
2020-01-26,56
2020-02-02,58
2020-02-09,66
2020-02-16,62
2020-02-23,62
2020-03-01,57
2020-03-08,54
