date,Cooking_CH
2018-01-07,54
2018-01-14,52
2018-01-21,64
2018-01-28,70
2018-02-04,56
2018-02-11,51
2018-02-18,55
2018-02-25,56
2018-03-04,61
2018-03-11,58
2018-03-18,55
2018-03-25,74
2018-04-01,59
2018-04-08,56
2018-04-15,52
2018-04-22,58
2018-04-29,57
2018-05-06,44
2018-05-13,51
2018-05-20,54
2018-05-27,44
2018-06-03,50
2018-06-10,35
2018-06-17,35
2018-06-24,41
2018-07-01,38
2018-07-08,49
2018-07-15,50
2018-07-22,47
2018-07-29,48
2018-08-05,42
2018-08-12,49
2018-08-19,38
2018-08-26,47
2018-09-02,59
2018-09-09,48
2018-09-16,51
2018-09-23,59
2018-09-30,57
2018-10-07,61
2018-10-14,67
2018-10-21,61
2018-10-28,61
2018-11-04,62
2018-11-11,75
2018-11-18,60
2018-11-25,54
2018-12-02,55
2018-12-09,67
2018-12-16,69
2018-12-23,98
2018-12-30,69
2019-01-06,73
2019-01-13,50
2019-01-20,57
2019-01-27,65
2019-02-03,67
2019-02-10,74
2019-02-17,58
2019-02-24,61
2019-03-03,61
2019-03-10,64
2019-03-17,59
2019-03-24,63
2019-03-31,65
2019-04-07,61
2019-04-14,90
2019-04-21,74
2019-04-28,60
2019-05-05,71
2019-05-12,58
2019-05-19,52
2019-05-26,55
2019-06-02,40
2019-06-09,60
2019-06-16,47
2019-06-23,41
2019-06-30,36
2019-07-07,46
2019-07-14,43
2019-07-21,43
2019-07-28,48
2019-08-04,45
2019-08-11,51
2019-08-18,47
2019-08-25,46
2019-09-01,52
2019-09-08,61
2019-09-15,54
2019-09-22,62
2019-09-29,70
2019-10-06,69
2019-10-13,69
2019-10-20,70
2019-10-27,58
2019-11-03,65
2019-11-10,65
2019-11-17,60
2019-11-24,62
2019-12-01,57
2019-12-08,64
2019-12-15,61
2019-12-22,100
2019-12-29,98
2020-01-05,57
2020-01-12,66
2020-01-19,57
2020-01-26,59
2020-02-02,65
2020-02-09,55
2020-02-16,60
2020-02-23,62
2020-03-01,71
2020-03-08,52
