date,Performing_Art_IR
2018-01-07,25
2018-01-14,41
2018-01-21,19
2018-01-28,59
2018-02-04,100
2018-02-11,100
2018-02-18,20
2018-02-25,62
2018-03-04,0
2018-03-11,0
2018-03-18,27
2018-03-25,25
2018-04-01,0
2018-04-08,42
2018-04-15,63
2018-04-22,64
2018-04-29,88
2018-05-06,0
2018-05-13,46
2018-05-20,0
2018-05-27,23
2018-06-03,24
2018-06-10,23
2018-06-17,23
2018-06-24,23
2018-07-01,0
2018-07-08,70
2018-07-15,24
2018-07-22,46
2018-07-29,88
2018-08-05,87
2018-08-12,23
2018-08-19,47
2018-08-26,46
2018-09-02,89
2018-09-09,66
2018-09-16,74
2018-09-23,22
2018-09-30,21
2018-10-07,22
2018-10-14,65
2018-10-21,66
2018-10-28,22
2018-11-04,22
2018-11-11,63
2018-11-18,42
2018-11-25,21
2018-12-02,21
2018-12-09,40
2018-12-16,59
2018-12-23,59
2018-12-30,20
2019-01-06,19
2019-01-13,18
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,38
2019-02-17,0
2019-02-24,57
2019-03-03,60
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,22
2019-04-07,77
2019-04-14,57
2019-04-21,57
2019-04-28,20
2019-05-05,19
2019-05-12,0
2019-05-19,36
2019-05-26,0
2019-06-02,39
2019-06-09,18
2019-06-16,36
2019-06-23,71
2019-06-30,71
2019-07-07,73
2019-07-14,37
2019-07-21,19
2019-07-28,19
2019-08-04,74
2019-08-11,57
2019-08-18,38
2019-08-25,0
2019-09-01,37
2019-09-08,0
2019-09-15,70
2019-09-22,36
2019-09-29,53
2019-10-06,18
2019-10-13,38
2019-10-20,0
2019-10-27,37
2019-11-03,0
2019-11-10,38
2019-11-17,0
2019-11-24,48
2019-12-01,0
2019-12-08,0
2019-12-15,15
2019-12-22,32
2019-12-29,45
2020-01-05,46
2020-01-12,45
2020-01-19,30
2020-01-26,47
2020-02-02,77
2020-02-09,32
2020-02-16,93
2020-02-23,0
2020-03-01,0
2020-03-08,0
