date,Learning_NG
2020-03-15,65
2020-03-22,50
2020-03-29,60
2020-04-05,72
2020-04-12,76
2020-04-19,86
2020-04-26,88
2020-05-03,77
2020-05-10,100
2020-05-17,71
2020-05-24,67
2020-05-31,67
2020-06-07,72
2020-06-14,63
2020-06-21,61
2020-06-28,53
2020-07-05,62
2020-07-12,70
2020-07-19,63
2020-07-26,62
2020-08-02,55
2020-08-09,45
2020-08-16,54
2020-08-23,59
2020-08-30,52
2020-09-06,54
2020-09-13,52
2020-09-20,55
2020-09-27,45
2020-10-04,55
2020-10-11,57
2020-10-18,44
2020-10-25,50
2020-11-01,52
2020-11-08,56
2020-11-15,67
2020-11-22,59
2020-11-29,56
2020-12-06,61
2020-12-13,56
2020-12-20,37
2020-12-27,52
2021-01-03,55
2021-01-10,58
2021-01-17,60
2021-01-24,58
2021-01-31,65
2021-02-07,71
2021-02-14,75
2021-02-21,68
2021-02-28,60
2021-03-07,68
2021-03-14,62
2021-03-21,78
2021-03-28,59
2021-04-04,66
2021-04-11,68
2021-04-18,60
2021-04-25,69
2021-05-02,60
2021-05-09,56
2021-05-16,74
2021-05-23,66
2021-05-30,60
2021-06-06,71
2021-06-13,69
2021-06-20,70
2021-06-27,60
2021-07-04,66
2021-07-11,70
2021-07-18,59
2021-07-25,70
2021-08-01,57
2021-08-08,59
2021-08-15,62
2021-08-22,56
2021-08-29,57
