date,Performing_Art_ES
2020-03-15,59
2020-03-22,56
2020-03-29,36
2020-04-05,41
2020-04-12,46
2020-04-19,61
2020-04-26,59
2020-05-03,45
2020-05-10,100
2020-05-17,67
2020-05-24,62
2020-05-31,56
2020-06-07,72
2020-06-14,28
2020-06-21,56
2020-06-28,75
2020-07-05,59
2020-07-12,56
2020-07-19,53
2020-07-26,37
2020-08-02,33
2020-08-09,32
2020-08-16,58
2020-08-23,36
2020-08-30,43
2020-09-06,66
2020-09-13,60
2020-09-20,68
2020-09-27,57
2020-10-04,43
2020-10-11,50
2020-10-18,47
2020-10-25,27
2020-11-01,34
2020-11-08,59
2020-11-15,47
2020-11-22,46
2020-11-29,66
2020-12-06,59
2020-12-13,24
2020-12-20,34
2020-12-27,38
2021-01-03,43
2021-01-10,59
2021-01-17,42
2021-01-24,50
2021-01-31,50
2021-02-07,31
2021-02-14,36
2021-02-21,48
2021-02-28,48
2021-03-07,72
2021-03-14,50
2021-03-21,63
2021-03-28,36
2021-04-04,52
2021-04-11,64
2021-04-18,28
2021-04-25,54
2021-05-02,37
2021-05-09,84
2021-05-16,74
2021-05-23,62
2021-05-30,44
2021-06-06,66
2021-06-13,29
2021-06-20,52
2021-06-27,64
2021-07-04,39
2021-07-11,62
2021-07-18,36
2021-07-25,22
2021-08-01,58
2021-08-08,64
2021-08-15,27
2021-08-22,23
2021-08-29,50
