date,Sports_DE
2020-03-15,43
2020-03-22,45
2020-03-29,46
2020-04-05,47
2020-04-12,47
2020-04-19,47
2020-04-26,47
2020-05-03,51
2020-05-10,54
2020-05-17,57
2020-05-24,61
2020-05-31,61
2020-06-07,59
2020-06-14,66
2020-06-21,65
2020-06-28,64
2020-07-05,60
2020-07-12,56
2020-07-19,56
2020-07-26,52
2020-08-02,57
2020-08-09,67
2020-08-16,68
2020-08-23,64
2020-08-30,61
2020-09-06,69
2020-09-13,71
2020-09-20,71
2020-09-27,73
2020-10-04,71
2020-10-11,68
2020-10-18,75
2020-10-25,71
2020-11-01,59
2020-11-08,57
2020-11-15,59
2020-11-22,63
2020-11-29,62
2020-12-06,65
2020-12-13,66
2020-12-20,54
2020-12-27,58
2021-01-03,72
2021-01-10,67
2021-01-17,73
2021-01-24,71
2021-01-31,70
2021-02-07,66
2021-02-14,71
2021-02-21,70
2021-02-28,75
2021-03-07,73
2021-03-14,66
2021-03-21,64
2021-03-28,64
2021-04-04,67
2021-04-11,68
2021-04-18,72
2021-04-25,68
2021-05-02,67
2021-05-09,71
2021-05-16,67
2021-05-23,67
2021-05-30,70
2021-06-06,80
2021-06-13,100
2021-06-20,93
2021-06-27,90
2021-07-04,74
2021-07-11,67
2021-07-18,60
2021-07-25,68
2021-08-01,69
2021-08-08,65
2021-08-15,72
2021-08-22,75
2021-08-29,67
