date,Arts_IT
2018-01-07,69
2018-01-14,71
2018-01-21,70
2018-01-28,64
2018-02-04,66
2018-02-11,66
2018-02-18,72
2018-02-25,65
2018-03-04,65
2018-03-11,68
2018-03-18,70
2018-03-25,64
2018-04-01,64
2018-04-08,71
2018-04-15,66
2018-04-22,62
2018-04-29,67
2018-05-06,65
2018-05-13,72
2018-05-20,68
2018-05-27,65
2018-06-03,66
2018-06-10,63
2018-06-17,68
2018-06-24,62
2018-07-01,55
2018-07-08,52
2018-07-15,52
2018-07-22,48
2018-07-29,46
2018-08-05,48
2018-08-12,46
2018-08-19,52
2018-08-26,51
2018-09-02,65
2018-09-09,64
2018-09-16,69
2018-09-23,64
2018-09-30,66
2018-10-07,79
2018-10-14,68
2018-10-21,67
2018-10-28,58
2018-11-04,71
2018-11-11,66
2018-11-18,67
2018-11-25,66
2018-12-02,69
2018-12-09,64
2018-12-16,58
2018-12-23,48
2018-12-30,57
2019-01-06,66
2019-01-13,64
2019-01-20,65
2019-01-27,89
2019-02-03,96
2019-02-10,95
2019-02-17,100
2019-02-24,93
2019-03-03,96
2019-03-10,92
2019-03-17,96
2019-03-24,93
2019-03-31,62
2019-04-07,69
2019-04-14,61
2019-04-21,56
2019-04-28,65
2019-05-05,66
2019-05-12,66
2019-05-19,64
2019-05-26,62
2019-06-02,66
2019-06-09,61
2019-06-16,65
2019-06-23,60
2019-06-30,52
2019-07-07,52
2019-07-14,50
2019-07-21,47
2019-07-28,45
2019-08-04,44
2019-08-11,44
2019-08-18,49
2019-08-25,56
2019-09-01,59
2019-09-08,62
2019-09-15,66
2019-09-22,68
2019-09-29,68
2019-10-06,74
2019-10-13,68
2019-10-20,66
2019-10-27,61
2019-11-03,64
2019-11-10,62
2019-11-17,67
2019-11-24,61
2019-12-01,62
2019-12-08,65
2019-12-15,55
2019-12-22,48
2019-12-29,54
2020-01-05,61
2020-01-12,66
2020-01-19,68
2020-01-26,62
2020-02-02,62
2020-02-09,68
2020-02-16,66
2020-02-23,51
2020-03-01,56
2020-03-08,55
