date,Performing_Art_PT
2020-03-15,13
2020-03-22,40
2020-03-29,13
2020-04-05,0
2020-04-12,25
2020-04-19,24
2020-04-26,100
2020-05-03,37
2020-05-10,38
2020-05-17,40
2020-05-24,66
2020-05-31,25
2020-06-07,26
2020-06-14,26
2020-06-21,13
2020-06-28,14
2020-07-05,14
2020-07-12,0
2020-07-19,14
2020-07-26,0
2020-08-02,14
2020-08-09,42
2020-08-16,14
2020-08-23,15
2020-08-30,0
2020-09-06,43
2020-09-13,14
2020-09-20,14
2020-09-27,14
2020-10-04,59
2020-10-11,0
2020-10-18,14
2020-10-25,0
2020-11-01,0
2020-11-08,28
2020-11-15,0
2020-11-22,28
2020-11-29,0
2020-12-06,0
2020-12-13,43
2020-12-20,17
2020-12-27,31
2021-01-03,0
2021-01-10,15
2021-01-17,42
2021-01-24,27
2021-01-31,68
2021-02-07,53
2021-02-14,27
2021-02-21,0
2021-02-28,42
2021-03-07,14
2021-03-14,40
2021-03-21,59
2021-03-28,0
2021-04-04,14
2021-04-11,0
2021-04-18,70
2021-04-25,28
2021-05-02,0
2021-05-09,56
2021-05-16,14
2021-05-23,15
2021-05-30,0
2021-06-06,30
2021-06-13,14
2021-06-20,14
2021-06-27,28
2021-07-04,15
2021-07-11,60
2021-07-18,30
2021-07-25,0
2021-08-01,15
2021-08-08,45
2021-08-15,15
2021-08-22,0
2021-08-29,32
