date,Learning_DK
2020-03-15,83
2020-03-22,68
2020-03-29,76
2020-04-05,78
2020-04-12,71
2020-04-19,49
2020-04-26,78
2020-05-03,59
2020-05-10,78
2020-05-17,72
2020-05-24,81
2020-05-31,53
2020-06-07,61
2020-06-14,54
2020-06-21,44
2020-06-28,44
2020-07-05,53
2020-07-12,44
2020-07-19,33
2020-07-26,33
2020-08-02,62
2020-08-09,48
2020-08-16,73
2020-08-23,63
2020-08-30,100
2020-09-06,79
2020-09-13,74
2020-09-20,83
2020-09-27,98
2020-10-04,64
2020-10-11,43
2020-10-18,60
2020-10-25,67
2020-11-01,65
2020-11-08,91
2020-11-15,57
2020-11-22,73
2020-11-29,66
2020-12-06,64
2020-12-13,62
2020-12-20,28
2020-12-27,45
2021-01-03,70
2021-01-10,47
2021-01-17,66
2021-01-24,74
2021-01-31,59
2021-02-07,63
2021-02-14,41
2021-02-21,67
2021-02-28,76
2021-03-07,68
2021-03-14,55
2021-03-21,59
2021-03-28,45
2021-04-04,58
2021-04-11,59
2021-04-18,57
2021-04-25,56
2021-05-02,65
2021-05-09,56
2021-05-16,67
2021-05-23,38
2021-05-30,63
2021-06-06,70
2021-06-13,65
2021-06-20,38
2021-06-27,39
2021-07-04,21
2021-07-11,44
2021-07-18,23
2021-07-25,29
2021-08-01,36
2021-08-08,45
2021-08-15,53
2021-08-22,60
2021-08-29,89
