date,Cooking_ES
2020-03-15,51
2020-03-22,59
2020-03-29,66
2020-04-05,72
2020-04-12,69
2020-04-19,68
2020-04-26,65
2020-05-03,65
2020-05-10,57
2020-05-17,52
2020-05-24,49
2020-05-31,44
2020-06-07,47
2020-06-14,45
2020-06-21,38
2020-06-28,37
2020-07-05,38
2020-07-12,39
2020-07-19,40
2020-07-26,35
2020-08-02,42
2020-08-09,36
2020-08-16,43
2020-08-23,40
2020-08-30,39
2020-09-06,50
2020-09-13,47
2020-09-20,47
2020-09-27,45
2020-10-04,48
2020-10-11,50
2020-10-18,48
2020-10-25,55
2020-11-01,50
2020-11-08,59
2020-11-15,56
2020-11-22,56
2020-11-29,54
2020-12-06,56
2020-12-13,55
2020-12-20,100
2020-12-27,84
2021-01-03,49
2021-01-10,56
2021-01-17,52
2021-01-24,54
2021-01-31,51
2021-02-07,50
2021-02-14,50
2021-02-21,46
2021-02-28,46
2021-03-07,42
2021-03-14,39
2021-03-21,41
2021-03-28,43
2021-04-04,43
2021-04-11,43
2021-04-18,45
2021-04-25,44
2021-05-02,40
2021-05-09,38
2021-05-16,37
2021-05-23,36
2021-05-30,37
2021-06-06,33
2021-06-13,33
2021-06-20,34
2021-06-27,32
2021-07-04,32
2021-07-11,31
2021-07-18,34
2021-07-25,38
2021-08-01,39
2021-08-08,37
2021-08-15,38
2021-08-22,38
2021-08-29,39
