date,Sports_CO
2020-03-15,35
2020-03-22,38
2020-03-29,30
2020-04-05,24
2020-04-12,30
2020-04-19,41
2020-04-26,47
2020-05-03,42
2020-05-10,41
2020-05-17,38
2020-05-24,39
2020-05-31,39
2020-06-07,40
2020-06-14,43
2020-06-21,37
2020-06-28,42
2020-07-05,38
2020-07-12,41
2020-07-19,41
2020-07-26,39
2020-08-02,41
2020-08-09,56
2020-08-16,45
2020-08-23,45
2020-08-30,43
2020-09-06,58
2020-09-13,56
2020-09-20,58
2020-09-27,66
2020-10-04,67
2020-10-11,77
2020-10-18,74
2020-10-25,68
2020-11-01,68
2020-11-08,75
2020-11-15,75
2020-11-22,64
2020-11-29,61
2020-12-06,56
2020-12-13,53
2020-12-20,52
2020-12-27,57
2021-01-03,42
2021-01-10,45
2021-01-17,53
2021-01-24,47
2021-01-31,54
2021-02-07,55
2021-02-14,60
2021-02-21,55
2021-02-28,56
2021-03-07,61
2021-03-14,57
2021-03-21,59
2021-03-28,62
2021-04-04,69
2021-04-11,62
2021-04-18,66
2021-04-25,62
2021-05-02,51
2021-05-09,51
2021-05-16,49
2021-05-23,46
2021-05-30,53
2021-06-06,60
2021-06-13,80
2021-06-20,80
2021-06-27,69
2021-07-04,73
2021-07-11,46
2021-07-18,55
2021-07-25,100
2021-08-01,72
2021-08-08,56
2021-08-15,56
2021-08-22,58
2021-08-29,59
