date,Collecting_VN
2020-03-15,36
2020-03-22,33
2020-03-29,47
2020-04-05,53
2020-04-12,72
2020-04-19,50
2020-04-26,48
2020-05-03,46
2020-05-10,60
2020-05-17,79
2020-05-24,48
2020-05-31,53
2020-06-07,77
2020-06-14,39
2020-06-21,32
2020-06-28,37
2020-07-05,40
2020-07-12,45
2020-07-19,39
2020-07-26,19
2020-08-02,52
2020-08-09,37
2020-08-16,42
2020-08-23,25
2020-08-30,41
2020-09-06,44
2020-09-13,37
2020-09-20,41
2020-09-27,41
2020-10-04,26
2020-10-11,26
2020-10-18,56
2020-10-25,26
2020-11-01,34
2020-11-08,23
2020-11-15,80
2020-11-22,27
2020-11-29,43
2020-12-06,54
2020-12-13,38
2020-12-20,38
2020-12-27,28
2021-01-03,43
2021-01-10,36
2021-01-17,54
2021-01-24,100
2021-01-31,42
2021-02-07,25
2021-02-14,37
2021-02-21,42
2021-02-28,33
2021-03-07,64
2021-03-14,32
2021-03-21,30
2021-03-28,48
2021-04-04,59
2021-04-11,47
2021-04-18,41
2021-04-25,33
2021-05-02,63
2021-05-09,67
2021-05-16,66
2021-05-23,25
2021-05-30,43
2021-06-06,31
2021-06-13,22
2021-06-20,23
2021-06-27,30
2021-07-04,38
2021-07-11,37
2021-07-18,15
2021-07-25,51
2021-08-01,26
2021-08-08,34
2021-08-15,66
2021-08-22,21
2021-08-29,30
