date,Crafts_SE
2020-03-15,67
2020-03-22,59
2020-03-29,59
2020-04-05,58
2020-04-12,58
2020-04-19,69
2020-04-26,36
2020-05-03,52
2020-05-10,40
2020-05-17,52
2020-05-24,42
2020-05-31,49
2020-06-07,54
2020-06-14,64
2020-06-21,58
2020-06-28,100
2020-07-05,56
2020-07-12,80
2020-07-19,49
2020-07-26,73
2020-08-02,70
2020-08-09,50
2020-08-16,55
2020-08-23,67
2020-08-30,45
2020-09-06,57
2020-09-13,53
2020-09-20,76
2020-09-27,70
2020-10-04,46
2020-10-11,77
2020-10-18,37
2020-10-25,48
2020-11-01,74
2020-11-08,47
2020-11-15,51
2020-11-22,43
2020-11-29,77
2020-12-06,77
2020-12-13,70
2020-12-20,43
2020-12-27,51
2021-01-03,100
2021-01-10,71
2021-01-17,62
2021-01-24,57
2021-01-31,58
2021-02-07,59
2021-02-14,60
2021-02-21,68
2021-02-28,79
2021-03-07,62
2021-03-14,62
2021-03-21,62
2021-03-28,45
2021-04-04,42
2021-04-11,49
2021-04-18,50
2021-04-25,44
2021-05-02,35
2021-05-09,63
2021-05-16,69
2021-05-23,39
2021-05-30,59
2021-06-06,38
2021-06-13,52
2021-06-20,56
2021-06-27,40
2021-07-04,46
2021-07-11,72
2021-07-18,59
2021-07-25,58
2021-08-01,73
2021-08-08,84
2021-08-15,46
2021-08-22,54
2021-08-29,49
