date,Pets_MY
2020-03-15,63
2020-03-22,62
2020-03-29,52
2020-04-05,69
2020-04-12,68
2020-04-19,71
2020-04-26,63
2020-05-03,61
2020-05-10,62
2020-05-17,63
2020-05-24,60
2020-05-31,74
2020-06-07,79
2020-06-14,69
2020-06-21,68
2020-06-28,72
2020-07-05,76
2020-07-12,73
2020-07-19,76
2020-07-26,74
2020-08-02,64
2020-08-09,68
2020-08-16,82
2020-08-23,73
2020-08-30,71
2020-09-06,65
2020-09-13,77
2020-09-20,63
2020-09-27,66
2020-10-04,71
2020-10-11,68
2020-10-18,66
2020-10-25,73
2020-11-01,88
2020-11-08,76
2020-11-15,71
2020-11-22,71
2020-11-29,72
2020-12-06,92
2020-12-13,83
2020-12-20,84
2020-12-27,84
2021-01-03,67
2021-01-10,71
2021-01-17,60
2021-01-24,69
2021-01-31,68
2021-02-07,78
2021-02-14,69
2021-02-21,64
2021-02-28,66
2021-03-07,62
2021-03-14,65
2021-03-21,69
2021-03-28,83
2021-04-04,63
2021-04-11,73
2021-04-18,66
2021-04-25,81
2021-05-02,76
2021-05-09,81
2021-05-16,63
2021-05-23,77
2021-05-30,77
2021-06-06,77
2021-06-13,82
2021-06-20,65
2021-06-27,75
2021-07-04,82
2021-07-11,76
2021-07-18,73
2021-07-25,77
2021-08-01,84
2021-08-08,84
2021-08-15,100
2021-08-22,85
2021-08-29,88
