date,Crafts_AU
2020-03-15,49
2020-03-22,67
2020-03-29,84
2020-04-05,100
2020-04-12,73
2020-04-19,81
2020-04-26,71
2020-05-03,72
2020-05-10,48
2020-05-17,52
2020-05-24,56
2020-05-31,52
2020-06-07,50
2020-06-14,51
2020-06-21,48
2020-06-28,57
2020-07-05,53
2020-07-12,59
2020-07-19,56
2020-07-26,55
2020-08-02,59
2020-08-09,65
2020-08-16,53
2020-08-23,57
2020-08-30,60
2020-09-06,47
2020-09-13,54
2020-09-20,51
2020-09-27,55
2020-10-04,47
2020-10-11,57
2020-10-18,57
2020-10-25,54
2020-11-01,45
2020-11-08,54
2020-11-15,59
2020-11-22,67
2020-11-29,60
2020-12-06,68
2020-12-13,55
2020-12-20,47
2020-12-27,46
2021-01-03,46
2021-01-10,48
2021-01-17,52
2021-01-24,46
2021-01-31,48
2021-02-07,48
2021-02-14,46
2021-02-21,48
2021-02-28,51
2021-03-07,48
2021-03-14,57
2021-03-21,49
2021-03-28,57
2021-04-04,49
2021-04-11,49
2021-04-18,51
2021-04-25,57
2021-05-02,62
2021-05-09,60
2021-05-16,47
2021-05-23,50
2021-05-30,48
2021-06-06,45
2021-06-13,50
2021-06-20,49
2021-06-27,53
2021-07-04,54
2021-07-11,56
2021-07-18,56
2021-07-25,49
2021-08-01,57
2021-08-08,54
2021-08-15,52
2021-08-22,58
2021-08-29,67
