date,Learning_ID
2020-03-15,93
2020-03-22,84
2020-03-29,93
2020-04-05,78
2020-04-12,93
2020-04-19,87
2020-04-26,82
2020-05-03,78
2020-05-10,74
2020-05-17,48
2020-05-24,43
2020-05-31,55
2020-06-07,67
2020-06-14,69
2020-06-21,57
2020-06-28,53
2020-07-05,56
2020-07-12,69
2020-07-19,72
2020-07-26,46
2020-08-02,50
2020-08-09,50
2020-08-16,46
2020-08-23,62
2020-08-30,59
2020-09-06,63
2020-09-13,80
2020-09-20,73
2020-09-27,86
2020-10-04,92
2020-10-11,96
2020-10-18,100
2020-10-25,81
2020-11-01,92
2020-11-08,97
2020-11-15,99
2020-11-22,85
2020-11-29,75
2020-12-06,65
2020-12-13,84
2020-12-20,59
2020-12-27,48
2021-01-03,68
2021-01-10,67
2021-01-17,65
2021-01-24,63
2021-01-31,55
2021-02-07,53
2021-02-14,58
2021-02-21,60
2021-02-28,69
2021-03-07,72
2021-03-14,82
2021-03-21,83
2021-03-28,71
2021-04-04,79
2021-04-11,81
2021-04-18,89
2021-04-25,81
2021-05-02,73
2021-05-09,33
2021-05-16,49
2021-05-23,78
2021-05-30,75
2021-06-06,84
2021-06-13,73
2021-06-20,69
2021-06-27,63
2021-07-04,73
2021-07-11,81
2021-07-18,59
2021-07-25,68
2021-08-01,60
2021-08-08,51
2021-08-15,50
2021-08-22,58
2021-08-29,66
