date,Arts_IL
2020-03-15,57
2020-03-22,52
2020-03-29,53
2020-04-05,71
2020-04-12,63
2020-04-19,77
2020-04-26,65
2020-05-03,76
2020-05-10,63
2020-05-17,67
2020-05-24,77
2020-05-31,62
2020-06-07,78
2020-06-14,85
2020-06-21,68
2020-06-28,66
2020-07-05,69
2020-07-12,74
2020-07-19,92
2020-07-26,69
2020-08-02,63
2020-08-09,60
2020-08-16,74
2020-08-23,72
2020-08-30,62
2020-09-06,62
2020-09-13,61
2020-09-20,72
2020-09-27,69
2020-10-04,71
2020-10-11,63
2020-10-18,72
2020-10-25,76
2020-11-01,60
2020-11-08,74
2020-11-15,58
2020-11-22,58
2020-11-29,69
2020-12-06,63
2020-12-13,56
2020-12-20,75
2020-12-27,64
2021-01-03,62
2021-01-10,74
2021-01-17,75
2021-01-24,66
2021-01-31,56
2021-02-07,60
2021-02-14,73
2021-02-21,60
2021-02-28,68
2021-03-07,82
2021-03-14,83
2021-03-21,58
2021-03-28,56
2021-04-04,65
2021-04-11,55
2021-04-18,63
2021-04-25,97
2021-05-02,100
2021-05-09,54
2021-05-16,87
2021-05-23,61
2021-05-30,58
2021-06-06,84
2021-06-13,86
2021-06-20,67
2021-06-27,68
2021-07-04,57
2021-07-11,80
2021-07-18,69
2021-07-25,61
2021-08-01,78
2021-08-08,70
2021-08-15,73
2021-08-22,64
2021-08-29,72
