date,Pets_TH
2020-03-15,70
2020-03-22,76
2020-03-29,66
2020-04-05,59
2020-04-12,63
2020-04-19,69
2020-04-26,77
2020-05-03,62
2020-05-10,87
2020-05-17,100
2020-05-24,89
2020-05-31,81
2020-06-07,73
2020-06-14,75
2020-06-21,89
2020-06-28,78
2020-07-05,69
2020-07-12,66
2020-07-19,79
2020-07-26,69
2020-08-02,75
2020-08-09,75
2020-08-16,81
2020-08-23,65
2020-08-30,84
2020-09-06,87
2020-09-13,64
2020-09-20,81
2020-09-27,70
2020-10-04,69
2020-10-11,64
2020-10-18,68
2020-10-25,64
2020-11-01,71
2020-11-08,57
2020-11-15,59
2020-11-22,73
2020-11-29,67
2020-12-06,78
2020-12-13,59
2020-12-20,64
2020-12-27,74
2021-01-03,62
2021-01-10,73
2021-01-17,65
2021-01-24,76
2021-01-31,62
2021-02-07,65
2021-02-14,69
2021-02-21,67
2021-02-28,61
2021-03-07,77
2021-03-14,68
2021-03-21,69
2021-03-28,66
2021-04-04,59
2021-04-11,66
2021-04-18,68
2021-04-25,70
2021-05-02,69
2021-05-09,48
2021-05-16,75
2021-05-23,59
2021-05-30,88
2021-06-06,91
2021-06-13,70
2021-06-20,70
2021-06-27,74
2021-07-04,72
2021-07-11,66
2021-07-18,68
2021-07-25,65
2021-08-01,89
2021-08-08,83
2021-08-15,85
2021-08-22,75
2021-08-29,74
