date,Game_SE
2020-03-15,34
2020-03-22,34
2020-03-29,35
2020-04-05,34
2020-04-12,34
2020-04-19,29
2020-04-26,97
2020-05-03,100
2020-05-10,31
2020-05-17,33
2020-05-24,30
2020-05-31,32
2020-06-07,33
2020-06-14,36
2020-06-21,32
2020-06-28,35
2020-07-05,35
2020-07-12,35
2020-07-19,33
2020-07-26,33
2020-08-02,32
2020-08-09,30
2020-08-16,35
2020-08-23,37
2020-08-30,37
2020-09-06,39
2020-09-13,41
2020-09-20,39
2020-09-27,36
2020-10-04,37
2020-10-11,37
2020-10-18,36
2020-10-25,39
2020-11-01,39
2020-11-08,40
2020-11-15,42
2020-11-22,44
2020-11-29,44
2020-12-06,47
2020-12-13,43
2020-12-20,52
2020-12-27,46
2021-01-03,39
2021-01-10,37
2021-01-17,37
2021-01-24,40
2021-01-31,40
2021-02-07,39
2021-02-14,38
2021-02-21,36
2021-02-28,35
2021-03-07,36
2021-03-14,34
2021-03-21,35
2021-03-28,34
2021-04-04,35
2021-04-11,36
2021-04-18,33
2021-04-25,34
2021-05-02,33
2021-05-09,35
2021-05-16,32
2021-05-23,34
2021-05-30,33
2021-06-06,32
2021-06-13,35
2021-06-20,34
2021-06-27,33
2021-07-04,31
2021-07-11,30
2021-07-18,34
2021-07-25,36
2021-08-01,35
2021-08-08,34
2021-08-15,32
2021-08-22,38
2021-08-29,38
