date,Sports_NO
2020-03-15,30
2020-03-22,31
2020-03-29,33
2020-04-05,40
2020-04-12,39
2020-04-19,38
2020-04-26,32
2020-05-03,37
2020-05-10,37
2020-05-17,30
2020-05-24,37
2020-05-31,34
2020-06-07,37
2020-06-14,43
2020-06-21,54
2020-06-28,57
2020-07-05,58
2020-07-12,55
2020-07-19,60
2020-07-26,53
2020-08-02,48
2020-08-09,57
2020-08-16,58
2020-08-23,57
2020-08-30,57
2020-09-06,57
2020-09-13,65
2020-09-20,62
2020-09-27,62
2020-10-04,59
2020-10-11,61
2020-10-18,70
2020-10-25,51
2020-11-01,46
2020-11-08,50
2020-11-15,54
2020-11-22,61
2020-11-29,63
2020-12-06,62
2020-12-13,63
2020-12-20,51
2020-12-27,61
2021-01-03,61
2021-01-10,67
2021-01-17,71
2021-01-24,73
2021-01-31,59
2021-02-07,62
2021-02-14,70
2021-02-21,72
2021-02-28,100
2021-03-07,71
2021-03-14,61
2021-03-21,65
2021-03-28,52
2021-04-04,56
2021-04-11,59
2021-04-18,63
2021-04-25,52
2021-05-02,55
2021-05-09,59
2021-05-16,50
2021-05-23,60
2021-05-30,48
2021-06-06,54
2021-06-13,64
2021-06-20,63
2021-06-27,68
2021-07-04,68
2021-07-11,54
2021-07-18,52
2021-07-25,50
2021-08-01,81
2021-08-08,56
2021-08-15,50
2021-08-22,58
2021-08-29,62
