date,Arts_DE
2020-03-15,52
2020-03-22,65
2020-03-29,67
2020-04-05,62
2020-04-12,65
2020-04-19,66
2020-04-26,71
2020-05-03,67
2020-05-10,70
2020-05-17,76
2020-05-24,73
2020-05-31,65
2020-06-07,71
2020-06-14,68
2020-06-21,65
2020-06-28,68
2020-07-05,69
2020-07-12,69
2020-07-19,63
2020-07-26,70
2020-08-02,53
2020-08-09,64
2020-08-16,71
2020-08-23,74
2020-08-30,78
2020-09-06,76
2020-09-13,73
2020-09-20,79
2020-09-27,77
2020-10-04,80
2020-10-11,68
2020-10-18,71
2020-10-25,75
2020-11-01,70
2020-11-08,76
2020-11-15,78
2020-11-22,78
2020-11-29,73
2020-12-06,77
2020-12-13,66
2020-12-20,60
2020-12-27,68
2021-01-03,73
2021-01-10,82
2021-01-17,75
2021-01-24,78
2021-01-31,77
2021-02-07,75
2021-02-14,72
2021-02-21,71
2021-02-28,72
2021-03-07,75
2021-03-14,74
2021-03-21,71
2021-03-28,62
2021-04-04,69
2021-04-11,76
2021-04-18,71
2021-04-25,85
2021-05-02,79
2021-05-09,71
2021-05-16,69
2021-05-23,67
2021-05-30,58
2021-06-06,69
2021-06-13,56
2021-06-20,61
2021-06-27,58
2021-07-04,60
2021-07-11,74
2021-07-18,100
2021-07-25,79
2021-08-01,66
2021-08-08,94
2021-08-15,69
2021-08-22,78
2021-08-29,83
