date,Arts_AE
2018-01-07,64
2018-01-14,87
2018-01-21,65
2018-01-28,55
2018-02-04,59
2018-02-11,68
2018-02-18,74
2018-02-25,81
2018-03-04,72
2018-03-11,83
2018-03-18,93
2018-03-25,50
2018-04-01,60
2018-04-08,66
2018-04-15,70
2018-04-22,69
2018-04-29,63
2018-05-06,70
2018-05-13,65
2018-05-20,59
2018-05-27,58
2018-06-03,45
2018-06-10,59
2018-06-17,57
2018-06-24,51
2018-07-01,42
2018-07-08,46
2018-07-15,42
2018-07-22,35
2018-07-29,39
2018-08-05,48
2018-08-12,42
2018-08-19,46
2018-08-26,44
2018-09-02,69
2018-09-09,64
2018-09-16,69
2018-09-23,79
2018-09-30,80
2018-10-07,70
2018-10-14,79
2018-10-21,73
2018-10-28,58
2018-11-04,69
2018-11-11,70
2018-11-18,70
2018-11-25,56
2018-12-02,57
2018-12-09,54
2018-12-16,48
2018-12-23,42
2018-12-30,45
2019-01-06,60
2019-01-13,60
2019-01-20,61
2019-01-27,53
2019-02-03,56
2019-02-10,70
2019-02-17,69
2019-02-24,67
2019-03-03,71
2019-03-10,77
2019-03-17,100
2019-03-24,61
2019-03-31,53
2019-04-07,52
2019-04-14,63
2019-04-21,56
2019-04-28,59
2019-05-05,53
2019-05-12,68
2019-05-19,58
2019-05-26,55
2019-06-02,39
2019-06-09,47
2019-06-16,40
2019-06-23,50
2019-06-30,44
2019-07-07,39
2019-07-14,47
2019-07-21,38
2019-07-28,50
2019-08-04,34
2019-08-11,32
2019-08-18,38
2019-08-25,50
2019-09-01,66
2019-09-08,55
2019-09-15,71
2019-09-22,72
2019-09-29,66
2019-10-06,56
2019-10-13,66
2019-10-20,66
2019-10-27,62
2019-11-03,66
2019-11-10,64
2019-11-17,48
2019-11-24,55
2019-12-01,58
2019-12-08,62
2019-12-15,52
2019-12-22,42
2019-12-29,44
2020-01-05,62
2020-01-12,58
2020-01-19,65
2020-01-26,62
2020-02-02,55
2020-02-09,62
2020-02-16,58
2020-02-23,60
2020-03-01,70
2020-03-08,43
