date,Pets_FR
2020-03-15,76
2020-03-22,73
2020-03-29,78
2020-04-05,82
2020-04-12,67
2020-04-19,74
2020-04-26,68
2020-05-03,68
2020-05-10,85
2020-05-17,74
2020-05-24,74
2020-05-31,70
2020-06-07,82
2020-06-14,75
2020-06-21,83
2020-06-28,91
2020-07-05,79
2020-07-12,89
2020-07-19,77
2020-07-26,83
2020-08-02,88
2020-08-09,73
2020-08-16,87
2020-08-23,84
2020-08-30,66
2020-09-06,72
2020-09-13,75
2020-09-20,67
2020-09-27,65
2020-10-04,65
2020-10-11,69
2020-10-18,66
2020-10-25,63
2020-11-01,60
2020-11-08,85
2020-11-15,71
2020-11-22,74
2020-11-29,69
2020-12-06,58
2020-12-13,59
2020-12-20,76
2020-12-27,72
2021-01-03,68
2021-01-10,52
2021-01-17,59
2021-01-24,76
2021-01-31,66
2021-02-07,67
2021-02-14,84
2021-02-21,82
2021-02-28,81
2021-03-07,73
2021-03-14,69
2021-03-21,80
2021-03-28,75
2021-04-04,61
2021-04-11,71
2021-04-18,81
2021-04-25,63
2021-05-02,69
2021-05-09,74
2021-05-16,69
2021-05-23,71
2021-05-30,65
2021-06-06,71
2021-06-13,78
2021-06-20,68
2021-06-27,71
2021-07-04,85
2021-07-11,76
2021-07-18,73
2021-07-25,81
2021-08-01,82
2021-08-08,77
2021-08-15,96
2021-08-22,100
2021-08-29,87
