date,Music_RO
2020-03-15,81
2020-03-22,81
2020-03-29,91
2020-04-05,92
2020-04-12,86
2020-04-19,97
2020-04-26,86
2020-05-03,84
2020-05-10,85
2020-05-17,83
2020-05-24,85
2020-05-31,80
2020-06-07,92
2020-06-14,84
2020-06-21,79
2020-06-28,90
2020-07-05,80
2020-07-12,85
2020-07-19,85
2020-07-26,84
2020-08-02,88
2020-08-09,83
2020-08-16,83
2020-08-23,82
2020-08-30,77
2020-09-06,79
2020-09-13,78
2020-09-20,76
2020-09-27,73
2020-10-04,76
2020-10-11,80
2020-10-18,82
2020-10-25,79
2020-11-01,73
2020-11-08,78
2020-11-15,80
2020-11-22,84
2020-11-29,82
2020-12-06,72
2020-12-13,75
2020-12-20,90
2020-12-27,100
2021-01-03,72
2021-01-10,70
2021-01-17,77
2021-01-24,76
2021-01-31,69
2021-02-07,72
2021-02-14,82
2021-02-21,74
2021-02-28,72
2021-03-07,76
2021-03-14,70
2021-03-21,70
2021-03-28,69
2021-04-04,66
2021-04-11,63
2021-04-18,65
2021-04-25,77
2021-05-02,77
2021-05-09,69
2021-05-16,70
2021-05-23,72
2021-05-30,72
2021-06-06,68
2021-06-13,67
2021-06-20,72
2021-06-27,65
2021-07-04,69
2021-07-11,75
2021-07-18,68
2021-07-25,72
2021-08-01,71
2021-08-08,68
2021-08-15,73
2021-08-22,74
2021-08-29,65
