date,Arts_SG
2018-01-07,83
2018-01-14,99
2018-01-21,100
2018-01-28,87
2018-02-04,93
2018-02-11,63
2018-02-18,68
2018-02-25,80
2018-03-04,90
2018-03-11,78
2018-03-18,92
2018-03-25,78
2018-04-01,70
2018-04-08,66
2018-04-15,75
2018-04-22,72
2018-04-29,74
2018-05-06,69
2018-05-13,80
2018-05-20,66
2018-05-27,83
2018-06-03,71
2018-06-10,74
2018-06-17,64
2018-06-24,83
2018-07-01,74
2018-07-08,67
2018-07-15,67
2018-07-22,64
2018-07-29,76
2018-08-05,61
2018-08-12,63
2018-08-19,72
2018-08-26,58
2018-09-02,67
2018-09-09,71
2018-09-16,70
2018-09-23,73
2018-09-30,72
2018-10-07,76
2018-10-14,72
2018-10-21,67
2018-10-28,56
2018-11-04,67
2018-11-11,66
2018-11-18,55
2018-11-25,60
2018-12-02,54
2018-12-09,46
2018-12-16,52
2018-12-23,53
2018-12-30,57
2019-01-06,66
2019-01-13,80
2019-01-20,73
2019-01-27,62
2019-02-03,63
2019-02-10,69
2019-02-17,74
2019-02-24,61
2019-03-03,55
2019-03-10,69
2019-03-17,58
2019-03-24,63
2019-03-31,72
2019-04-07,64
2019-04-14,67
2019-04-21,59
2019-04-28,70
2019-05-05,60
2019-05-12,73
2019-05-19,64
2019-05-26,58
2019-06-02,54
2019-06-09,52
2019-06-16,59
2019-06-23,51
2019-06-30,64
2019-07-07,61
2019-07-14,63
2019-07-21,58
2019-07-28,55
2019-08-04,54
2019-08-11,63
2019-08-18,65
2019-08-25,74
2019-09-01,77
2019-09-08,71
2019-09-15,71
2019-09-22,69
2019-09-29,63
2019-10-06,55
2019-10-13,64
2019-10-20,66
2019-10-27,65
2019-11-03,64
2019-11-10,59
2019-11-17,76
2019-11-24,69
2019-12-01,68
2019-12-08,65
2019-12-15,62
2019-12-22,53
2019-12-29,55
2020-01-05,69
2020-01-12,72
2020-01-19,66
2020-01-26,58
2020-02-02,62
2020-02-09,58
2020-02-16,62
2020-02-23,63
2020-03-01,65
2020-03-08,58
