date,Performing_Art_PT
2018-01-07,35
2018-01-14,0
2018-01-21,35
2018-01-28,70
2018-02-04,53
2018-02-11,0
2018-02-18,35
2018-02-25,33
2018-03-04,100
2018-03-11,33
2018-03-18,53
2018-03-25,36
2018-04-01,84
2018-04-08,16
2018-04-15,50
2018-04-22,17
2018-04-29,85
2018-05-06,0
2018-05-13,51
2018-05-20,17
2018-05-27,17
2018-06-03,33
2018-06-10,0
2018-06-17,49
2018-06-24,17
2018-07-01,0
2018-07-08,17
2018-07-15,0
2018-07-22,34
2018-07-29,34
2018-08-05,17
2018-08-12,35
2018-08-19,88
2018-08-26,17
2018-09-02,17
2018-09-09,0
2018-09-16,0
2018-09-23,17
2018-09-30,70
2018-10-07,17
2018-10-14,34
2018-10-21,0
2018-10-28,18
2018-11-04,17
2018-11-11,18
2018-11-18,85
2018-11-25,0
2018-12-02,54
2018-12-09,55
2018-12-16,19
2018-12-23,62
2018-12-30,39
2019-01-06,0
2019-01-13,18
2019-01-20,52
2019-01-27,0
2019-02-03,17
2019-02-10,0
2019-02-17,17
2019-02-24,0
2019-03-03,0
2019-03-10,17
2019-03-17,0
2019-03-24,17
2019-03-31,34
2019-04-07,35
2019-04-14,17
2019-04-21,35
2019-04-28,69
2019-05-05,67
2019-05-12,16
2019-05-19,66
2019-05-26,33
2019-06-02,31
2019-06-09,17
2019-06-16,16
2019-06-23,0
2019-06-30,16
2019-07-07,32
2019-07-14,65
2019-07-21,0
2019-07-28,0
2019-08-04,47
2019-08-11,0
2019-08-18,16
2019-08-25,48
2019-09-01,31
2019-09-08,31
2019-09-15,30
2019-09-22,46
2019-09-29,31
2019-10-06,0
2019-10-13,30
2019-10-20,16
2019-10-27,15
2019-11-03,30
2019-11-10,15
2019-11-17,31
2019-11-24,59
2019-12-01,31
2019-12-08,0
2019-12-15,30
2019-12-22,0
2019-12-29,66
2020-01-05,15
2020-01-12,0
2020-01-19,15
2020-01-26,14
2020-02-02,29
2020-02-09,28
2020-02-16,29
2020-02-23,14
2020-03-01,27
2020-03-08,0
