date,Cooking_JP
2020-03-15,63
2020-03-22,60
2020-03-29,60
2020-04-05,74
2020-04-12,82
2020-04-19,86
2020-04-26,100
2020-05-03,92
2020-05-10,80
2020-05-17,83
2020-05-24,72
2020-05-31,72
2020-06-07,68
2020-06-14,68
2020-06-21,62
2020-06-28,61
2020-07-05,60
2020-07-12,58
2020-07-19,61
2020-07-26,56
2020-08-02,65
2020-08-09,60
2020-08-16,63
2020-08-23,56
2020-08-30,64
2020-09-06,60
2020-09-13,61
2020-09-20,64
2020-09-27,59
2020-10-04,64
2020-10-11,71
2020-10-18,67
2020-10-25,59
2020-11-01,68
2020-11-08,61
2020-11-15,64
2020-11-22,68
2020-11-29,65
2020-12-06,66
2020-12-13,66
2020-12-20,67
2020-12-27,78
2021-01-03,69
2021-01-10,74
2021-01-17,76
2021-01-24,71
2021-01-31,68
2021-02-07,82
2021-02-14,75
2021-02-21,69
2021-02-28,67
2021-03-07,64
2021-03-14,59
2021-03-21,63
2021-03-28,60
2021-04-04,62
2021-04-11,69
2021-04-18,67
2021-04-25,68
2021-05-02,70
2021-05-09,71
2021-05-16,66
2021-05-23,67
2021-05-30,65
2021-06-06,68
2021-06-13,57
2021-06-20,54
2021-06-27,56
2021-07-04,56
2021-07-11,54
2021-07-18,52
2021-07-25,49
2021-08-01,50
2021-08-08,54
2021-08-15,54
2021-08-22,57
2021-08-29,60
