date,Collecting_BD
2020-03-15,0
2020-03-22,17
2020-03-29,0
2020-04-05,0
2020-04-12,18
2020-04-19,37
2020-04-26,20
2020-05-03,0
2020-05-10,0
2020-05-17,20
2020-05-24,0
2020-05-31,31
2020-06-07,31
2020-06-14,0
2020-06-21,32
2020-06-28,16
2020-07-05,0
2020-07-12,31
2020-07-19,31
2020-07-26,0
2020-08-02,16
2020-08-09,15
2020-08-16,59
2020-08-23,15
2020-08-30,15
2020-09-06,0
2020-09-13,30
2020-09-20,28
2020-09-27,73
2020-10-04,29
2020-10-11,44
2020-10-18,15
2020-10-25,29
2020-11-01,27
2020-11-08,0
2020-11-15,30
2020-11-22,73
2020-11-29,29
2020-12-06,14
2020-12-13,15
2020-12-20,79
2020-12-27,0
2021-01-03,15
2021-01-10,30
2021-01-17,15
2021-01-24,14
2021-01-31,29
2021-02-07,40
2021-02-14,29
2021-02-21,43
2021-02-28,100
2021-03-07,57
2021-03-14,13
2021-03-21,54
2021-03-28,42
2021-04-04,28
2021-04-11,44
2021-04-18,14
2021-04-25,68
2021-05-02,30
2021-05-09,51
2021-05-16,29
2021-05-23,13
2021-05-30,41
2021-06-06,40
2021-06-13,50
2021-06-20,62
2021-06-27,12
2021-07-04,35
2021-07-11,24
2021-07-18,58
2021-07-25,26
2021-08-01,47
2021-08-08,49
2021-08-15,24
2021-08-22,39
2021-08-29,38
